steps,words,feedback,ncands
3,"['soare', 'riyal', 'cigar']","['XXYYX', 'YGXGX', 'GGGGG']","[42, 2, 2]"
4,"['soare', 'tined', 'crept', 'rebut']","['XXXYY', 'YXXYX', 'XYYXG', 'GGGGG']","[117, 7, 1, 1]"
3,"['soare', 'thilk', 'sissy']","['GXXXX', 'XXYXX', 'GGGGG']","[63, 2, 2]"
4,"['soare', 'clint', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[183, 15, 1, 1]"
4,"['soare', 'glitz', 'heave', 'awake']","['XXGXG', 'XXXXX', 'XYGXG', 'GGGGG']","[28, 8, 2, 2]"
3,"['soare', 'mythi', 'blush']","['YXXXX', 'XXXYX', 'GGGGG']","[33, 3, 3]"
3,"['soare', 'liman', 'focal']","['XGYXX', 'YXXGX', 'GGGGG']","[21, 3, 3]"
4,"['soare', 'glitz', 'heave', 'evade']","['XXGXG', 'XXXXX', 'XYGYG', 'GGGGG']","[28, 8, 1, 1]"
4,"['soare', 'clint', 'lanky', 'naval']","['XXYXX', 'XYXYX', 'YGYXX', 'GGGGG']","[138, 5, 1, 1]"
3,"['soare', 'scree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
3,"['soare', 'depth', 'heath']","['XXGXY', 'XGXGG', 'GGGGG']","[21, 1, 1]"
3,"['soare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
3,"['soare', 'meynt', 'model']","['XGXXY', 'GYXXX', 'GGGGG']","[26, 2, 2]"
3,"['soare', 'riyal', 'karma']","['XXYYX', 'YXXYX', 'GGGGG']","[42, 4, 4]"
4,"['soare', 'thilk', 'stick', 'stink']","['GXXXX', 'YXGXG', 'GGGXG', 'GGGGG']","[63, 2, 1, 1]"
3,"['soare', 'crate', 'grade']","['XXGYG', 'XGGXG', 'GGGGG']","[19, 9, 9]"
4,"['soare', 'teind', 'evict', 'quiet']","['XXXXY', 'YYGXX', 'YXGXG', 'GGGGG']","[120, 2, 1, 1]"
3,"['soare', 'teind', 'bench']","['XXXXY', 'XGXYX', 'GGGGG']","[120, 4, 4]"
3,"['soare', 'glitz', 'abate']","['XXGXG', 'XXXGX', 'GGGGG']","[28, 1, 1]"
3,"['soare', 'teind', 'feign']","['XXXXY', 'XGGYX', 'GGGGG']","[120, 2, 2]"
3,"['soare', 'maron', 'major']","['XYYYX', 'GGYGX', 'GGGGG']","[27, 2, 2]"
3,"['soare', 'depth', 'death']","['XXGXY', 'GGXGG', 'GGGGG']","[21, 1, 1]"
4,"['soare', 'reset', 'cress', 'fresh']","['YXXYY', 'YYYYX', 'XGGGY', 'GGGGG']","[15, 4, 1, 1]"
2,"['soare', 'crust']","['YXXYX', 'GGGGG']","[16, 16]"
3,"['soare', 'clipt', 'stool']","['GYXXX', 'XYXXY', 'GGGGG']","[37, 1, 1]"
3,"['soare', 'culty', 'colon']","['XGXXX', 'GXGXX', 'GGGGG']","[87, 1, 1]"
3,"['soare', 'cease', 'abase']","['YXGXG', 'XYGGG', 'GGGGG']","[7, 2, 2]"
4,"['soare', 'hairy', 'carry', 'marry']","['XXYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 2]"
3,"['soare', 'reach', 'react']","['XXGYY', 'GGGGX', 'GGGGG']","[4, 1, 1]"
4,"['soare', 'clint', 'tabby', 'batty']","['XXYXX', 'XXXXY', 'YGYYG', 'GGGGG']","[138, 7, 1, 1]"
3,"['soare', 'pudic', 'pride']","['XXXYG', 'GXYYX', 'GGGGG']","[39, 1, 1]"
3,"['soare', 'gloss', 'floss']","['YYXXX', 'XGGGG', 'GGGGG']","[7, 1, 1]"
3,"['soare', 'teind', 'helix']","['XXXXY', 'XGYXX', 'GGGGG']","[120, 1, 1]"
4,"['soare', 'maron', 'broad', 'croak']","['XYYYX', 'XYYYX', 'XGGGX', 'GGGGG']","[27, 2, 1, 1]"
4,"['soare', 'thilk', 'scant', 'staff']","['GXGXX', 'YXXXX', 'GXGXY', 'GGGGG']","[41, 4, 2, 2]"
5,"['soare', 'talcy', 'gamer', 'parer', 'paper']","['XXYYY', 'XGXXX', 'XGXGG', 'GGYGG', 'GGGGG']","[61, 14, 6, 1, 1]"
3,"['soare', 'teind', 'unfed']","['XXXXY', 'XYXYG', 'GGGGG']","[120, 3, 3]"
4,"['soare', 'teind', 'excel', 'whelp']","['XXXXY', 'XYXXX', 'YXXYY', 'GGGGG']","[120, 10, 1, 1]"
3,"['soare', 'clint', 'trawl']","['XXGYX', 'XYXXY', 'GGGGG']","[40, 1, 1]"
3,"['soare', 'clint', 'outdo']","['XYXXX', 'XXXXY', 'GGGGG']","[56, 4, 4]"
3,"['soare', 'anode', 'adobe']","['XYYXG', 'GXGYG', 'GGGGG']","[8, 1, 1]"
5,"['soare', 'clint', 'crack', 'cramp', 'crazy']","['XXGYX', 'GXXXX', 'GGGYX', 'GGGXX', 'GGGGG']","[40, 3, 2, 1, 1]"
3,"['soare', 'sober', 'sower']","['GGXYY', 'GGXGG', 'GGGGG']","[2, 1, 1]"
3,"['soare', 'talcy', 'repay']","['XXYYY', 'XYXXG', 'GGGGG']","[61, 1, 1]"
4,"['soare', 'clint', 'fight', 'digit']","['XXXXX', 'XXYXG', 'XGGXG', 'GGGGG']","[183, 5, 1, 1]"
2,"['soare', 'crate']","['XXGYG', 'GGGGG']","[19, 19]"
3,"['soare', 'clint', 'cluck']","['XXXXX', 'GGXXX', 'GGGGG']","[183, 2, 2]"
4,"['soare', 'pling', 'spice', 'spike']","['GXXXG', 'YXGXX', 'GGGXG', 'GGGGG']","[23, 3, 2, 2]"
3,"['soare', 'clint', 'mimic']","['XXXXX', 'YXYXX', 'GGGGG']","[183, 3, 3]"
6,"['soare', 'culty', 'bough', 'found', 'mound', 'pound']","['XGXXX', 'XYXXX', 'XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[87, 8, 4, 3, 2, 2]"
4,"['soare', 'clint', 'affix', 'maxim']","['XXYXX', 'XXYXX', 'YXXGY', 'GGGGG']","[138, 6, 1, 1]"
5,"['soare', 'teind', 'given', 'liken', 'linen']","['XXXXY', 'XYYYX', 'XGXGG', 'GGXGG', 'GGGGG']","[120, 7, 2, 1, 1]"
4,"['soare', 'teind', 'knelt', 'unmet']","['XXXXY', 'YYXYX', 'XGYXG', 'GGGGG']","[120, 2, 1, 1]"
4,"['soare', 'guest', 'bless', 'flesh']","['YXXXY', 'XXGGX', 'XGGGY', 'GGGGG']","[19, 3, 1, 1]"
4,"['soare', 'culty', 'goody', 'booby']","['XGXXX', 'XXXXG', 'XGGXG', 'GGGGG']","[87, 15, 3, 3]"
3,"['soare', 'cyton', 'forth']","['XGXYX', 'XXYYX', 'GGGGG']","[26, 2, 2]"
3,"['soare', 'crust', 'first']","['YXXYX', 'XYXGG', 'GGGGG']","[16, 1, 1]"
4,"['soare', 'thilk', 'scant', 'stand']","['GXGXX', 'YXXXX', 'GXGGY', 'GGGGG']","[41, 4, 1, 1]"
4,"['soare', 'teind', 'belch', 'belly']","['XXXXY', 'XGXXX', 'GGGXX', 'GGGGG']","[120, 13, 1, 1]"
4,"['soare', 'chord', 'glory', 'ivory']","['XYXGX', 'XXGGX', 'XXGGG', 'GGGGG']","[8, 2, 1, 1]"
4,"['soare', 'clipt', 'semen', 'seedy']","['GXXXY', 'XXXXX', 'GGXYX', 'GGGGG']","[35, 4, 1, 1]"
3,"['soare', 'glint', 'print']","['XXXYX', 'XXGGG', 'GGGGG']","[57, 1, 1]"
3,"['soare', 'teary', 'yearn']","['XXGGY', 'XGGGY', 'GGGGG']","[9, 1, 1]"
4,"['soare', 'clint', 'brain', 'drain']","['XXGYX', 'XXYYX', 'XGGGG', 'GGGGG']","[40, 3, 2, 2]"
4,"['soare', 'pudic', 'tribe', 'bribe']","['XXXYG', 'XXXYX', 'XGGGG', 'GGGGG']","[39, 7, 1, 1]"
5,"['soare', 'clipt', 'shoot', 'snout', 'stout']","['GYXXX', 'XXXXG', 'GXGYG', 'GXGGG', 'GGGGG']","[37, 4, 2, 1, 1]"
3,"['soare', 'tepal', 'panel']","['XXYXY', 'XYYYG', 'GGGGG']","[68, 1, 1]"
