steps,words,feedback,ncands
3,"['crane', 'cargo', 'cigar']","['GYYXX', 'GYYYX', 'GGGGG']","[8, 1, 1]"
3,"['crane', 'rosit', 'rebut']","['XYXXY', 'GXXXG', 'GGGGG']","[122, 1, 1]"
3,"['crane', 'slipt', 'sissy']","['XXXXX', 'GXYXX', 'GGGGG']","[263, 3, 3]"
4,"['crane', 'slipt', 'dumpy', 'humph']","['XXXXX', 'XXXGX', 'XGGGX', 'GGGGG']","[263, 6, 1, 1]"
4,"['crane', 'stulm', 'adage', 'awake']","['XXGXG', 'XXXXX', 'GXGXG', 'GGGGG']","[44, 6, 1, 1]"
4,"['crane', 'slipt', 'floss', 'blush']","['XXXXX', 'YGXXX', 'XGXGY', 'GGGGG']","[263, 4, 1, 1]"
3,"['crane', 'moist', 'focal']","['YXYXX', 'XGXXX', 'GGGGG']","[27, 3, 3]"
4,"['crane', 'stulm', 'adage', 'evade']","['XXGXG', 'XXXXX', 'YYGXG', 'GGGGG']","[44, 6, 1, 1]"
4,"['crane', 'toils', 'annul', 'naval']","['XXYYX', 'XXXYX', 'YYYXG', 'GGGGG']","[47, 4, 1, 1]"
3,"['crane', 'sprog', 'serve']","['XYXXG', 'GXGXX', 'GGGGG']","[40, 1, 1]"
3,"['crane', 'dealt', 'heath']","['XXGXY', 'XGGXY', 'GGGGG']","[18, 2, 2]"
4,"['crane', 'shtik', 'award', 'dwarf']","['XYGXX', 'XXXXX', 'YGGGY', 'GGGGG']","[24, 6, 1, 1]"
5,"['crane', 'spilt', 'bevel', 'dowel', 'model']","['XXXXY', 'XXXYX', 'XYXGG', 'YGXGG', 'GGGGG']","[127, 16, 3, 1, 1]"
4,"['crane', 'parol', 'hardy', 'karma']","['XYYXX', 'XGGXX', 'XGGXX', 'GGGGG']","[65, 8, 1, 1]"
3,"['crane', 'gouts', 'stink']","['XXXGX', 'XXXYY', 'GGGGG']","[58, 2, 2]"
2,"['crane', 'grade']","['XGGXG', 'GGGGG']","[13, 13]"
3,"['crane', 'spilt', 'quiet']","['XXXXY', 'XXGXG', 'GGGGG']","[127, 1, 1]"
2,"['crane', 'bench']","['YXXYY', 'GGGGG']","[2, 2]"
3,"['crane', 'stulm', 'abate']","['XXGXG', 'XYXXX', 'GGGGG']","[44, 3, 3]"
4,"['crane', 'timon', 'deign', 'feign']","['XXXYY', 'XYXXG', 'XGGGG', 'GGGGG']","[58, 4, 1, 1]"
4,"['crane', 'parol', 'favor', 'major']","['XYYXX', 'XGYGX', 'XGXGG', 'GGGGG']","[65, 5, 3, 3]"
3,"['crane', 'dealt', 'death']","['XXGXY', 'GGGXY', 'GGGGG']","[18, 1, 1]"
