steps,words,feedback,ncands
3,"['stare', 'carol', 'cigar']","['XXYYX', 'GYYXX', 'GGGGG']","[64, 1, 1]"
4,"['stare', 'cunit', 'erupt', 'rebut']","['XYXYY', 'XYXXG', 'YYYXG', 'GGGGG']","[30, 2, 1, 1]"
3,"['stare', 'plink', 'sissy']","['GXXXX', 'XXYXX', 'GGGGG']","[67, 3, 3]"
4,"['stare', 'colin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[227, 15, 1, 1]"
4,"['stare', 'clung', 'weave', 'awake']","['XXGXG', 'XXXXX', 'YYGXG', 'GGGGG']","[24, 5, 1, 1]"
3,"['stare', 'hilum', 'blush']","['YXXXX', 'YXYYX', 'GGGGG']","[38, 3, 3]"
3,"['stare', 'colin', 'focal']","['XXYXX', 'YGYXX', 'GGGGG']","[127, 3, 3]"
4,"['stare', 'clung', 'weave', 'evade']","['XXGXG', 'XXXXX', 'XYGYG', 'GGGGG']","[24, 5, 1, 1]"
4,"['stare', 'colin', 'lanky', 'naval']","['XXYXX', 'XXYXY', 'YGYXX', 'GGGGG']","[127, 5, 1, 1]"
3,"['stare', 'scree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
4,"['stare', 'leant', 'death', 'heath']","['XYGXY', 'XGGXY', 'XGGGG', 'GGGGG']","[11, 4, 1, 1]"
4,"['stare', 'hoard', 'diary', 'dwarf']","['XXGGX', 'XXGGY', 'GXGGX', 'GGGGG']","[12, 2, 1, 1]"
4,"['stare', 'lined', 'dowel', 'model']","['XXXXY', 'YXXGY', 'YGXGG', 'GGGGG']","[116, 2, 1, 1]"
4,"['stare', 'carol', 'harpy', 'karma']","['XXYYX', 'XGGXX', 'XGGXX', 'GGGGG']","[64, 4, 1, 1]"
4,"['stare', 'pinot', 'sting', 'stink']","['GGXXX', 'XYYXY', 'GGGGX', 'GGGGG']","[22, 2, 1, 1]"
3,"['stare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
4,"['stare', 'doilt', 'evict', 'quiet']","['XYXXY', 'XXGXG', 'YXGXG', 'GGGGG']","[54, 2, 1, 1]"
3,"['stare', 'lined', 'bench']","['XXXXY', 'XXGYX', 'GGGGG']","[116, 4, 4]"
2,"['stare', 'abate']","['XYGXG', 'GGGGG']","[5, 5]"
4,"['stare', 'lined', 'begin', 'feign']","['XXXXY', 'XYYYX', 'XGYYG', 'GGGGG']","[116, 6, 1, 1]"
5,"['stare', 'carol', 'rayon', 'favor', 'major']","['XXYYX', 'XGYGX', 'YGXGX', 'XGXGG', 'GGGGG']","[64, 7, 3, 1, 1]"
3,"['stare', 'leant', 'death']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 4, 4]"
4,"['stare', 'poser', 'cress', 'fresh']","['YXXYY', 'XXYYY', 'XGGGY', 'GGGGG']","[14, 4, 1, 1]"
3,"['stare', 'torus', 'crust']","['YYXYX', 'YXYYY', 'GGGGG']","[13, 2, 2]"
4,"['stare', 'pinot', 'stood', 'stool']","['GGXXX', 'XXXGY', 'GGGGX', 'GGGGG']","[22, 2, 1, 1]"
3,"['stare', 'colin', 'colon']","['XXXXX', 'GGGXG', 'GGGGG']","[227, 1, 1]"
3,"['stare', 'cease', 'abase']","['YXGXG', 'XYGGG', 'GGGGG']","[6, 2, 2]"
4,"['stare', 'cairn', 'harry', 'marry']","['XXYGX', 'XGXGX', 'XGGGG', 'GGGGG']","[16, 3, 2, 2]"
2,"['stare', 'react']","['XYGYY', 'GGGGG']","[1, 1]"
3,"['stare', 'colin', 'batty']","['XYYXX', 'XXXXX', 'GGGGG']","[74, 8, 8]"
3,"['stare', 'poind', 'pride']","['XXXYG', 'GXGXY', 'GGGGG']","[49, 1, 1]"
3,"['stare', 'hilum', 'floss']","['YXXXX', 'XXYXX', 'GGGGG']","[38, 2, 2]"
3,"['stare', 'lined', 'helix']","['XXXXY', 'YYXYX', 'GGGGG']","[116, 1, 1]"
3,"['stare', 'carol', 'croak']","['XXYYX', 'GYYYX', 'GGGGG']","[64, 1, 1]"
3,"['stare', 'stank', 'staff']","['GGGXX', 'GGGXX', 'GGGGG']","[10, 5, 5]"
5,"['stare', 'calmy', 'wager', 'parer', 'paper']","['XXYYY', 'XGXXX', 'XGXGG', 'GGYGG', 'GGGGG']","[47, 10, 4, 1, 1]"
3,"['stare', 'lined', 'unfed']","['XXXXY', 'XXYGG', 'GGGGG']","[116, 3, 3]"
4,"['stare', 'lined', 'belch', 'whelp']","['XXXXY', 'YXXYX', 'XYYXY', 'GGGGG']","[116, 12, 1, 1]"
4,"['stare', 'tract', 'trail', 'trawl']","['XYGYX', 'GGGXY', 'GGGXG', 'GGGGG']","[12, 4, 1, 1]"
4,"['stare', 'hoing', 'clout', 'outdo']","['XYXXX', 'XYXXX', 'XXYYY', 'GGGGG']","[98, 3, 1, 1]"
4,"['stare', 'anglo', 'abode', 'adobe']","['XXYXG', 'GXXXY', 'GYGYG', 'GGGGG']","[41, 4, 1, 1]"
5,"['stare', 'blind', 'cramp', 'crack', 'crazy']","['XXGYX', 'XXXXX', 'GGGXX', 'GGGYX', 'GGGGG']","[30, 7, 2, 1, 1]"
4,"['stare', 'shrew', 'sewer', 'sower']","['GXXYY', 'GXYGY', 'GYGGG', 'GGGGG']","[14, 2, 1, 1]"
3,"['stare', 'calmy', 'repay']","['XXYYY', 'XYXXG', 'GGGGG']","[47, 1, 1]"
3,"['stare', 'hoing', 'digit']","['XYXXX', 'XXYXY', 'GGGGG']","[98, 1, 1]"
2,"['stare', 'crate']","['XYGYG', 'GGGGG']","[5, 5]"
3,"['stare', 'colin', 'cluck']","['XXXXX', 'GXYXX', 'GGGGG']","[227, 2, 2]"
3,"['stare', 'clink', 'spike']","['GXXXG', 'XXGXY', 'GGGGG']","[27, 1, 1]"
3,"['stare', 'colin', 'mimic']","['XXXXX', 'YXXGX', 'GGGGG']","[227, 2, 2]"
7,"['stare', 'colin', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'XGXXY', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 9, 5, 4, 3, 2, 2]"
4,"['stare', 'colin', 'affix', 'maxim']","['XXYXX', 'XXXGX', 'YXXGY', 'GGGGG']","[127, 5, 1, 1]"
3,"['stare', 'lined', 'linen']","['XXXXY', 'GGGGX', 'GGGGG']","[116, 1, 1]"
4,"['stare', 'doilt', 'tenet', 'unmet']","['XYXXY', 'XXXXG', 'YYYGG', 'GGGGG']","[54, 7, 1, 1]"
3,"['stare', 'welsh', 'flesh']","['YXXXY', 'XYYGG', 'GGGGG']","[9, 1, 1]"
4,"['stare', 'colin', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[227, 16, 3, 3]"
3,"['stare', 'throb', 'forth']","['XYXYX', 'YYGYX', 'GGGGG']","[42, 3, 3]"
3,"['stare', 'torus', 'first']","['YYXYX', 'YXGXY', 'GGGGG']","[13, 1, 1]"
3,"['stare', 'stank', 'stand']","['GGGXX', 'GGGGX', 'GGGGG']","[10, 1, 1]"
4,"['stare', 'lined', 'belch', 'belly']","['XXXXY', 'YXXYX', 'GGGXX', 'GGGGG']","[116, 12, 2, 2]"
4,"['stare', 'chord', 'glory', 'ivory']","['XXXGX', 'XXGGX', 'XXGGG', 'GGGGG']","[20, 2, 1, 1]"
3,"['stare', 'whelp', 'seedy']","['GXXXY', 'XXGXX', 'GGGGG']","[21, 1, 1]"
4,"['stare', 'throb', 'fruit', 'print']","['XYXYX', 'YXYXX', 'XGXYG', 'GGGGG']","[42, 6, 1, 1]"
3,"['stare', 'learn', 'yearn']","['XXGGY', 'XGGGG', 'GGGGG']","[7, 1, 1]"
3,"['stare', 'blind', 'drain']","['XXGYX', 'XXYYY', 'GGGGG']","[30, 1, 1]"
4,"['stare', 'poind', 'crime', 'bribe']","['XXXYG', 'XXGXX', 'XGGXG', 'GGGGG']","[49, 3, 1, 1]"
3,"['stare', 'pinot', 'stout']","['GGXXX', 'XXXYG', 'GGGGG']","[22, 1, 1]"
3,"['stare', 'genal', 'panel']","['XXYXY', 'XYGYG', 'GGGGG']","[51, 1, 1]"
3,"['stare', 'brass', 'crass']","['YXGYX', 'XGGGG', 'GGGGG']","[6, 2, 2]"
3,"['stare', 'lingo', 'flume']","['XXXXG', 'YXXXX', 'GGGGG']","[87, 8, 8]"
4,"['stare', 'colin', 'afoul', 'offal']","['XXYXX', 'XYYXX', 'YGYXG', 'GGGGG']","[127, 4, 1, 1]"
3,"['stare', 'barge', 'agree']","['XXYYG', 'XYGYG', 'GGGGG']","[7, 1, 1]"
4,"['stare', 'lined', 'perch', 'error']","['XXXYY', 'XXXYX', 'XYGXX', 'GGGGG']","[118, 8, 1, 1]"
3,"['stare', 'sworn', 'swirl']","['GXXGX', 'GGXGX', 'GGGGG']","[10, 1, 1]"
3,"['stare', 'barge', 'argue']","['XXYYG', 'XYYYG', 'GGGGG']","[7, 1, 1]"
3,"['stare', 'lined', 'bleed']","['XXXXY', 'YXXGG', 'GGGGG']","[116, 2, 2]"
3,"['stare', 'pleat', 'delta']","['XYYXY', 'XYYYY', 'GGGGG']","[21, 1, 1]"
3,"['stare', 'colin', 'flick']","['XXXXX', 'YXYYX', 'GGGGG']","[227, 2, 2]"
4,"['stare', 'doilt', 'token', 'totem']","['XYXXY', 'XGXXY', 'GGXGX', 'GGGGG']","[54, 2, 1, 1]"
4,"['stare', 'lined', 'whomp', 'wooer']","['XXXYY', 'XXXGX', 'GXGXX', 'GGGGG']","[118, 31, 1, 1]"
4,"['stare', 'throb', 'droit', 'front']","['XYXYX', 'YXYYX', 'XGGXG', 'GGGGG']","[42, 3, 2, 2]"
3,"['stare', 'scrub', 'shrub']","['GXXYX', 'GXGGG', 'GGGGG']","[8, 1, 1]"
5,"['stare', 'cairn', 'harry', 'marry', 'parry']","['XXYGX', 'XGXGX', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 1, 1]"
3,"['stare', 'lingo', 'biome']","['XXXXG', 'XGXXY', 'GGGGG']","[87, 2, 2]"
4,"['stare', 'genal', 'label', 'lapel']","['XXYXY', 'XYXYG', 'GGXGG', 'GGGGG']","[51, 4, 1, 1]"
3,"['stare', 'stark', 'start']","['GGGGX', 'GGGGX', 'GGGGG']","[2, 1, 1]"
4,"['stare', 'cunit', 'beret', 'greet']","['XYXYY', 'XXXXG', 'XYYGG', 'GGGGG']","[30, 3, 1, 1]"
3,"['stare', 'lined', 'goner']","['XXXYY', 'XXGGX', 'GGGGG']","[118, 3, 3]"
4,"['stare', 'lined', 'bowel', 'golem']","['XXXXY', 'YXXGX', 'XGXGY', 'GGGGG']","[116, 11, 1, 1]"
5,"['stare', 'moist', 'dusty', 'gusty', 'lusty']","['YYXXX', 'XXXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 3, 2, 1, 1]"
4,"['stare', 'colin', 'wooly', 'loopy']","['XXXXX', 'XGYXX', 'XGGYG', 'GGGGG']","[227, 7, 1, 1]"
4,"['stare', 'coign', 'donor', 'round']","['XXXYX', 'XGXXY', 'YGYYY', 'GGGGG']","[100, 4, 1, 1]"
4,"['stare', 'colin', 'admit', 'audit']","['XYYXX', 'XXXGX', 'GYXGG', 'GGGGG']","[74, 4, 1, 1]"
4,"['stare', 'colin', 'blind', 'lying']","['XXXXX', 'XXYYY', 'XYGGX', 'GGGGG']","[227, 5, 1, 1]"
4,"['stare', 'colin', 'gaudy', 'gamma']","['XXYXX', 'XXXXX', 'GGXXX', 'GGGGG']","[127, 15, 1, 1]"
3,"['stare', 'carol', 'labor']","['XXYYX', 'XGYGY', 'GGGGG']","[64, 2, 2]"
3,"['stare', 'upset', 'islet']","['YYXXY', 'XXYGG', 'GGGGG']","[14, 1, 1]"
3,"['stare', 'colin', 'civic']","['XXXXX', 'GXXGX', 'GGGGG']","[227, 2, 2]"
3,"['stare', 'poind', 'forge']","['XXXYG', 'XGXXX', 'GGGGG']","[49, 5, 5]"
3,"['stare', 'coign', 'corny']","['XXXYX', 'GGXXY', 'GGGGG']","[100, 1, 1]"
4,"['stare', 'hoing', 'booty', 'moult']","['XYXXX', 'XGXXX', 'XGYYX', 'GGGGG']","[98, 7, 1, 1]"
3,"['stare', 'basil', 'basic']","['YXYXX', 'GGGGX', 'GGGGG']","[16, 3, 3]"
3,"['stare', 'sadly', 'salad']","['GXYXX', 'GGYYX', 'GGGGG']","[18, 1, 1]"
3,"['stare', 'abate', 'agate']","['XYGXG', 'GXGGG', 'GGGGG']","[5, 1, 1]"
3,"['stare', 'plink', 'spicy']","['GXXXX', 'YXGXX', 'GGGGG']","[67, 1, 1]"
3,"['stare', 'scram', 'spray']","['GXYYX', 'GXGGX', 'GGGGG']","[7, 1, 1]"
3,"['stare', 'ashen', 'essay']","['YXYXY', 'YGXYX', 'GGGGG']","[4, 1, 1]"
3,"['stare', 'chord', 'fjord']","['XXXGX', 'XXGGG', 'GGGGG']","[20, 1, 1]"
4,"['stare', 'whelp', 'speed', 'spend']","['GXXXY', 'XXGXY', 'GGGYG', 'GGGGG']","[21, 3, 1, 1]"
4,"['stare', 'genal', 'decay', 'kebab']","['XXYXY', 'XGXGX', 'XGXGX', 'GGGGG']","[51, 2, 1, 1]"
4,"['stare', 'colin', 'blimp', 'guild']","['XXXXX', 'XXYYX', 'XYGXX', 'GGGGG']","[227, 7, 2, 2]"
