steps,words,feedback,ncands
4,"['tales', 'brond', 'chair', 'cigar']","['XYXXX', 'XYXXX', 'GXYYG', 'GGGGG']","[102, 8, 1, 1]"
3,"['tales', 'recit', 'rebut']","['YXXYX', 'GGXXG', 'GGGGG']","[52, 1, 1]"
4,"['tales', 'prion', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[88, 6, 1, 1]"
4,"['tales', 'cornu', 'dumpy', 'humph']","['XXXXX', 'XXXXY', 'XGGGX', 'GGGGG']","[221, 15, 1, 1]"
3,"['tales', 'beard', 'awake']","['XYXYX', 'XYGXX', 'GGGGG']","[83, 8, 8]"
3,"['tales', 'plouk', 'blush']","['XXYXY', 'XGXYX', 'GGGGG']","[28, 4, 4]"
3,"['tales', 'corni', 'focal']","['XYYXX', 'YGXXX', 'GGGGG']","[67, 3, 3]"
4,"['tales', 'beard', 'adage', 'evade']","['XYXYX', 'XYGXY', 'YYGXG', 'GGGGG']","[83, 2, 1, 1]"
3,"['tales', 'banal', 'naval']","['XGYXX', 'XGYGG', 'GGGGG']","[18, 1, 1]"
4,"['tales', 'porin', 'curse', 'serve']","['XXXYY', 'XXGXX', 'XXGYG', 'GGGGG']","[69, 5, 1, 1]"
3,"['tales', 'heart', 'heath']","['YYXYX', 'GGGXY', 'GGGGG']","[24, 1, 1]"
4,"['tales', 'brond', 'diary', 'dwarf']","['XYXXX', 'XYXXY', 'GXGGX', 'GGGGG']","[102, 2, 1, 1]"
4,"['tales', 'livor', 'bowel', 'model']","['XXYGX', 'YXXYX', 'XGXGG', 'GGGGG']","[43, 4, 1, 1]"
3,"['tales', 'corny', 'karma']","['XGXXX', 'XXGXX', 'GGGGG']","[82, 2, 2]"
4,"['tales', 'court', 'sting', 'stink']","['YXXXY', 'XXXXY', 'GGGGX', 'GGGGG']","[67, 6, 1, 1]"
4,"['tales', 'beard', 'drake', 'grade']","['XYXYX', 'XYGYY', 'YGGXG', 'GGGGG']","[83, 3, 1, 1]"
4,"['tales', 'mohur', 'duvet', 'quiet']","['YXXGX', 'XXXYX', 'XGXGG', 'GGGGG']","[22, 2, 1, 1]"
4,"['tales', 'drone', 'begin', 'bench']","['XXXYX', 'XXXYY', 'GGXXY', 'GGGGG']","[165, 8, 1, 1]"
3,"['tales', 'heart', 'abate']","['YYXYX', 'XYGXY', 'GGGGG']","[24, 3, 3]"
4,"['tales', 'drone', 'begin', 'feign']","['XXXYX', 'XXXYY', 'XGYYG', 'GGGGG']","[165, 8, 1, 1]"
4,"['tales', 'corny', 'favor', 'major']","['XGXXX', 'XYYXX', 'XGXGG', 'GGGGG']","[82, 5, 2, 2]"
