steps,words,feedback,ncands
4,"['tares', 'brond', 'chair', 'cigar']","['XYYXX', 'XYXXX', 'GXYYG', 'GGGGG']","[70, 10, 1, 1]"
3,"['tares', 'recut', 'rebut']","['YXYYX', 'GGXGG', 'GGGGG']","[19, 1, 1]"
4,"['tares', 'plink', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[94, 7, 1, 1]"
4,"['tares', 'colin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[227, 15, 1, 1]"
5,"['tares', 'gland', 'beach', 'amaze', 'awake']","['XYXYX', 'XXGXX', 'XYGXX', 'GXGXG', 'GGGGG']","[81, 10, 3, 1, 1]"
3,"['tares', 'plink', 'blush']","['XXXXY', 'XGXXX', 'GGGGG']","[94, 5, 5]"
3,"['tares', 'colin', 'focal']","['XYXXX', 'YGYXX', 'GGGGG']","[98, 3, 3]"
4,"['tares', 'gland', 'beady', 'evade']","['XYXYX', 'XXGXY', 'XYGGX', 'GGGGG']","[81, 3, 1, 1]"
4,"['tares', 'mincy', 'pagan', 'naval']","['XGXXX', 'XXYXX', 'XGXGY', 'GGGGG']","[66, 4, 1, 1]"
3,"['tares', 'curse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[11, 1, 1]"
4,"['tares', 'leapt', 'death', 'heath']","['YYXYX', 'XGGXY', 'XGGGG', 'GGGGG']","[30, 3, 1, 1]"
4,"['tares', 'brond', 'diary', 'dwarf']","['XYYXX', 'XYXXY', 'GXGGX', 'GGGGG']","[70, 2, 1, 1]"
3,"['tares', 'indol', 'model']","['XXXGX', 'XXGYG', 'GGGGG']","[56, 1, 1]"
4,"['tares', 'harpy', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[13, 5, 1, 1]"
5,"['tares', 'pouch', 'stint', 'sting', 'stink']","['YXXXY', 'XXXXX', 'GGGGY', 'GGGGX', 'GGGGG']","[55, 10, 2, 1, 1]"
4,"['tares', 'beard', 'drake', 'grade']","['XYYYX', 'XYGYY', 'YGGXG', 'GGGGG']","[54, 3, 1, 1]"
4,"['tares', 'motel', 'duvet', 'quiet']","['YXXGX', 'XXYGX', 'XGXGG', 'GGGGG']","[14, 3, 1, 1]"
4,"['tares', 'lingo', 'pence', 'bench']","['XXXYX', 'XXGXX', 'XGGGY', 'GGGGG']","[147, 9, 2, 2]"
3,"['tares', 'leapt', 'abate']","['YYXYX', 'XYGXY', 'GGGGG']","[30, 3, 3]"
4,"['tares', 'lingo', 'deign', 'feign']","['XXXYX', 'XYYGX', 'XGGGG', 'GGGGG']","[147, 3, 1, 1]"
4,"['tares', 'bidon', 'valor', 'major']","['XGYXX', 'XXXGX', 'XGXGG', 'GGGGG']","[27, 6, 3, 3]"
3,"['tares', 'leapt', 'death']","['YYXYX', 'XGGXY', 'GGGGG']","[30, 3, 3]"
3,"['tares', 'prose', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[14, 1, 1]"
3,"['tares', 'short', 'crust']","['YXYXY', 'YXXYG', 'GGGGG']","[14, 2, 2]"
4,"['tares', 'pouch', 'stood', 'stool']","['YXXXY', 'XYXXX', 'GGGGX', 'GGGGG']","[55, 3, 1, 1]"
3,"['tares', 'colin', 'colon']","['XXXXX', 'GGGXG', 'GGGGG']","[227, 1, 1]"
4,"['tares', 'spule', 'cease', 'abase']","['XYXYY', 'YXXXG', 'XYGGG', 'GGGGG']","[28, 4, 1, 1]"
4,"['tares', 'harpy', 'carry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'GGGGG']","[13, 2, 1, 1]"
3,"['tares', 'alert', 'react']","['YYYYX', 'YXYYG', 'GGGGG']","[9, 1, 1]"
3,"['tares', 'clift', 'batty']","['YGXXX', 'XXXXY', 'GGGGG']","[32, 4, 4]"
4,"['tares', 'crudo', 'bride', 'pride']","['XXYYX', 'XGXGX', 'XGGGG', 'GGGGG']","[57, 2, 1, 1]"
2,"['tares', 'floss']","['XXXXG', 'GGGGG']","[11, 11]"
4,"['tares', 'lingo', 'elide', 'helix']","['XXXYX', 'YYXXX', 'YYYXY', 'GGGGG']","[147, 6, 1, 1]"
4,"['tares', 'brond', 'aroma', 'croak']","['XYYXX', 'XGGXX', 'YGGXY', 'GGGGG']","[70, 2, 1, 1]"
3,"['tares', 'clint', 'staff']","['YYXXY', 'XXXXY', 'GGGGG']","[23, 4, 4]"
4,"['tares', 'lager', 'caper', 'paper']","['XGYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[19, 8, 1, 1]"
3,"['tares', 'indol', 'unfed']","['XXXGX', 'XGYXX', 'GGGGG']","[56, 3, 3]"
5,"['tares', 'lingo', 'belle', 'dwell', 'whelp']","['XXXYX', 'YXXXX', 'XYYGY', 'XYGGY', 'GGGGG']","[147, 15, 3, 1, 1]"
3,"['tares', 'trial', 'trawl']","['GYYXX', 'GGXYG', 'GGGGG']","[10, 1, 1]"
4,"['tares', 'hoing', 'clout', 'outdo']","['YXXXX', 'XYXXX', 'XXYYY', 'GGGGG']","[78, 3, 1, 1]"
4,"['tares', 'gland', 'abide', 'adobe']","['XYXYX', 'XXYXY', 'GYXYG', 'GGGGG']","[81, 5, 1, 1]"
6,"['tares', 'brond', 'crawl', 'crack', 'cramp', 'crazy']","['XYYXX', 'XGXXX', 'GGGXX', 'GGGYX', 'GGGXX', 'GGGGG']","[70, 10, 3, 2, 1, 1]"
2,"['tares', 'sower']","['XXYGY', 'GGGGG']","[15, 15]"
