steps,words,feedback,ncands
3,"['tores', 'canid', 'cigar']","['XXYXX', 'GYXYX', 'GGGGG']","[97, 1, 1]"
3,"['tores', 'bract', 'rebut']","['YXYYX', 'YYXXG', 'GGGGG']","[23, 1, 1]"
4,"['tores', 'haily', 'missy', 'sissy']","['XXXXY', 'XXYXG', 'XGGGG', 'GGGGG']","[120, 4, 1, 1]"
4,"['tores', 'plica', 'dumpy', 'humph']","['XXXXX', 'YXXXX', 'XGGGX', 'GGGGG']","[246, 5, 1, 1]"
5,"['tores', 'gland', 'beach', 'amaze', 'awake']","['XXXYX', 'XXGXX', 'XYGXX', 'GXGXG', 'GGGGG']","[196, 10, 3, 1, 1]"
3,"['tores', 'haily', 'blush']","['XXXXY', 'YXXYX', 'GGGGG']","[120, 4, 4]"
4,"['tores', 'glady', 'vocal', 'focal']","['XGXXX', 'XYYXX', 'XGGGG', 'GGGGG']","[79, 6, 2, 2]"
4,"['tores', 'gland', 'beady', 'evade']","['XXXYX', 'XXGXY', 'XYGGX', 'GGGGG']","[196, 3, 1, 1]"
4,"['tores', 'plica', 'manly', 'naval']","['XXXXX', 'XYXXY', 'XGYYX', 'GGGGG']","[246, 14, 1, 1]"
3,"['tores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[9, 1, 1]"
3,"['tores', 'dealt', 'heath']","['YXXYX', 'XGGXY', 'GGGGG']","[69, 2, 2]"
4,"['tores', 'canid', 'drama', 'dwarf']","['XXYXX', 'XYXXY', 'GYGXY', 'GGGGG']","[97, 3, 1, 1]"
4,"['tores', 'woven', 'golem', 'model']","['XGXGX', 'XGXGX', 'XGYGY', 'GGGGG']","[19, 5, 1, 1]"
3,"['tores', 'calmy', 'karma']","['XXGXX', 'XGXGX', 'GGGGG']","[29, 1, 1]"
4,"['tores', 'hiant', 'sting', 'stink']","['YXXXY', 'XYXGY', 'GGGGX', 'GGGGG']","[58, 2, 1, 1]"
3,"['tores', 'clade', 'grade']","['XXYYX', 'XXGGG', 'GGGGG']","[93, 1, 1]"
3,"['tores', 'inlet', 'quiet']","['YXXGX', 'YXXGG', 'GGGGG']","[13, 1, 1]"
4,"['tores', 'gland', 'wench', 'bench']","['XXXYX', 'XXXYX', 'XGGGG', 'GGGGG']","[196, 13, 1, 1]"
3,"['tores', 'dealt', 'abate']","['YXXYX', 'XYGXY', 'GGGGG']","[69, 2, 2]"
4,"['tores', 'gland', 'begin', 'feign']","['XXXYX', 'YXXYX', 'XGYYG', 'GGGGG']","[196, 6, 1, 1]"
4,"['tores', 'grand', 'valor', 'major']","['XYYXX', 'XYYXX', 'XGXGG', 'GGGGG']","[74, 10, 3, 3]"
3,"['tores', 'dealt', 'death']","['YXXYX', 'GGGXY', 'GGGGG']","[69, 1, 1]"
3,"['tores', 'shire', 'fresh']","['XXYYY', 'YYXYY', 'GGGGG']","[18, 1, 1]"
3,"['tores', 'stair', 'crust']","['YXYXY', 'YYXXY', 'GGGGG']","[12, 2, 2]"
4,"['tores', 'stoop', 'stood', 'stool']","['YYXXY', 'GGGGX', 'GGGGX', 'GGGGG']","[17, 2, 1, 1]"
3,"['tores', 'glady', 'colon']","['XGXXX', 'XYXXX', 'GGGGG']","[79, 2, 2]"
4,"['tores', 'spald', 'cease', 'abase']","['XXXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[72, 4, 1, 1]"
3,"['tores', 'calmy', 'marry']","['XXGXX', 'XGXYG', 'GGGGG']","[29, 1, 1]"
3,"['tores', 'bract', 'react']","['YXYYX', 'XYGGG', 'GGGGG']","[23, 1, 1]"
4,"['tores', 'haint', 'fatty', 'batty']","['YXXXX', 'XGXXY', 'XGGGG', 'GGGGG']","[87, 7, 3, 3]"
4,"['tores', 'clade', 'bride', 'pride']","['XXYYX', 'XXXGG', 'XGGGG', 'GGGGG']","[93, 3, 1, 1]"
2,"['tores', 'floss']","['XYXXG', 'GGGGG']","[3, 3]"
4,"['tores', 'gland', 'belie', 'helix']","['XXXYX', 'XYXXX', 'XGGGY', 'GGGGG']","[196, 14, 1, 1]"
4,"['tores', 'grand', 'arbor', 'croak']","['XYYXX', 'XGYXX', 'YGXYY', 'GGGGG']","[74, 4, 1, 1]"
4,"['tores', 'hiant', 'stalk', 'staff']","['YXXXY', 'XXGXY', 'GGGXX', 'GGGGG']","[58, 5, 2, 2]"
