steps,words,feedback,ncands
4,"['arles', 'doric', 'cairn', 'cigar']","['YYXXX', 'XXYYY', 'GYYYX', 'GGGGG']","[65, 3, 1, 1]"
4,"['arles', 'certy', 'remit', 'rebut']","['XYXYX', 'XGYYX', 'GGXXG', 'GGGGG']","[64, 6, 1, 1]"
3,"['arles', 'skint', 'sissy']","['XXXXY', 'GXYXX', 'GGGGG']","[114, 3, 3]"
4,"['arles', 'notum', 'dummy', 'humph']","['XXXXX', 'XXXYY', 'XGGYX', 'GGGGG']","[205, 10, 1, 1]"
5,"['arles', 'abate', 'adage', 'amaze', 'awake']","['GXXYX', 'GXGXG', 'GXGXG', 'GXGXG', 'GGGGG']","[19, 4, 2, 1, 1]"
3,"['arles', 'plouk', 'blush']","['XXYXY', 'XGXYX', 'GGGGG']","[31, 4, 4]"
3,"['arles', 'canto', 'focal']","['YXYXX', 'YYXXY', 'GGGGG']","[68, 3, 3]"
3,"['arles', 'bhang', 'evade']","['YXXYX', 'XXGXX', 'GGGGG']","[56, 7, 7]"
3,"['arles', 'canto', 'naval']","['YXYXX', 'XGYXX', 'GGGGG']","[68, 1, 1]"
5,"['arles', 'seton', 'serif', 'serum', 'serve']","['XYXYY', 'GGXXX', 'GGGXX', 'GGGXX', 'GGGGG']","[26, 3, 2, 1, 1]"
4,"['arles', 'bhang', 'death', 'heath']","['YXXYX', 'XYGXX', 'XGGGG', 'GGGGG']","[56, 7, 1, 1]"
3,"['arles', 'doric', 'dwarf']","['YYXXX', 'GXYXX', 'GGGGG']","[65, 1, 1]"
5,"['arles', 'netop', 'bowel', 'hovel', 'model']","['XXYGX', 'XYXYX', 'XGXGG', 'XGXGG', 'GGGGG']","[30, 5, 2, 1, 1]"
4,"['arles', 'doric', 'harpy', 'karma']","['YYXXX', 'XXGXX', 'XGGXX', 'GGGGG']","[65, 8, 1, 1]"
3,"['arles', 'skint', 'stink']","['XXXXY', 'GYGGY', 'GGGGG']","[114, 1, 1]"
3,"['arles', 'cadge', 'grade']","['YGXYX', 'XYYYG', 'GGGGG']","[30, 1, 1]"
3,"['arles', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['arles', 'unite', 'bench']","['XXXYX', 'XYXXY', 'GGGGG']","[130, 7, 7]"
2,"['arles', 'abate']","['GXXYX', 'GGGGG']","[19, 19]"
4,"['arles', 'unite', 'deign', 'feign']","['XXXYX', 'XYGXY', 'XGGGG', 'GGGGG']","[130, 6, 1, 1]"
3,"['arles', 'doric', 'major']","['YYXXX', 'XYYXX', 'GGGGG']","[65, 8, 8]"
3,"['arles', 'bhang', 'death']","['YXXYX', 'XYGXX', 'GGGGG']","[56, 7, 7]"
3,"['arles', 'crest', 'fresh']","['XGXYY', 'XGGGX', 'GGGGG']","[4, 1, 1]"
2,"['arles', 'crust']","['XGXXY', 'GGGGG']","[11, 11]"
4,"['arles', 'plouk', 'scold', 'stool']","['XXYXY', 'XYGXX', 'GXGYX', 'GGGGG']","[31, 3, 1, 1]"
3,"['arles', 'viold', 'colon']","['XXGXX', 'XXYYX', 'GGGGG']","[30, 3, 3]"
2,"['arles', 'abase']","['GXXYY', 'GGGGG']","[4, 4]"
4,"['arles', 'doric', 'harpy', 'marry']","['YYXXX', 'XXGXX', 'XGGXG', 'GGGGG']","[65, 8, 2, 2]"
4,"['arles', 'herby', 'cedar', 'react']","['YYXYX', 'XGYXX', 'YGXYY', 'GGGGG']","[25, 4, 1, 1]"
3,"['arles', 'canty', 'batty']","['YXXXX', 'XGXGG', 'GGGGG']","[119, 4, 4]"
4,"['arles', 'pinot', 'price', 'pride']","['XGXYX', 'GYXXX', 'GGGXG', 'GGGGG']","[45, 4, 3, 3]"
2,"['arles', 'floss']","['XXYXG', 'GGGGG']","[5, 5]"
3,"['arles', 'hello', 'helix']","['XXGYX', 'GGGYX', 'GGGGG']","[17, 1, 1]"
3,"['arles', 'coign', 'croak']","['YGXXX', 'GYXXX', 'GGGGG']","[40, 1, 1]"
3,"['arles', 'canst', 'staff']","['YXXXY', 'XYXYY', 'GGGGG']","[62, 5, 5]"
