steps,words,feedback,ncands
4,"['arose', 'hairy', 'circa', 'cigar']","['YYXXX', 'XYYYX', 'GGYYY', 'GGGGG']","[55, 6, 1, 1]"
4,"['arose', 'lited', 'berth', 'rebut']","['XYXXY', 'XXYYX', 'YGYYX', 'GGGGG']","[103, 4, 1, 1]"
2,"['arose', 'sissy']","['XXXGX', 'GGGGG']","[17, 17]"
4,"['arose', 'lindy', 'butch', 'humph']","['XXXXX', 'XXXXX', 'XGXXG', 'GGGGG']","[183, 7, 1, 1]"
5,"['arose', 'agile', 'abate', 'amaze', 'awake']","['GXXXG', 'GXXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[18, 4, 2, 1, 1]"
3,"['arose', 'sissy', 'blush']","['XXXGX', 'YXYGX', 'GGGGG']","[17, 3, 3]"
3,"['arose', 'canal', 'focal']","['YXYXX', 'YYXGG', 'GGGGG']","[44, 4, 4]"
3,"['arose', 'blaud', 'evade']","['YXXXG', 'XXGXY', 'GGGGG']","[50, 1, 1]"
4,"['arose', 'linty', 'blank', 'naval']","['YXXXX', 'YXYXX', 'XYYYX', 'GGGGG']","[148, 8, 1, 1]"
3,"['arose', 'scree', 'serve']","['XYXYG', 'GXGYG', 'GGGGG']","[6, 2, 2]"
4,"['arose', 'ictal', 'death', 'heath']","['YXXXY', 'XXYYX', 'XGGGG', 'GGGGG']","[78, 6, 1, 1]"
4,"['arose', 'hairy', 'quart', 'dwarf']","['YYXXX', 'XYXGX', 'XXGGX', 'GGGGG']","[55, 6, 1, 1]"
4,"['arose', 'tined', 'dowel', 'model']","['XXYXY', 'XXXGY', 'YGXGG', 'GGGGG']","[47, 4, 1, 1]"
3,"['arose', 'hairy', 'karma']","['YYXXX', 'XGXYX', 'GGGGG']","[55, 5, 5]"
3,"['arose', 'skint', 'stink']","['XXXYX', 'GYGGY', 'GGGGG']","[79, 1, 1]"
3,"['arose', 'grace', 'grade']","['YGXXG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
3,"['arose', 'lited', 'quiet']","['XXXXY', 'XYYGX', 'GGGGG']","[120, 2, 2]"
4,"['arose', 'lited', 'beech', 'bench']","['XXXXY', 'XXXYX', 'GGYGG', 'GGGGG']","[120, 9, 1, 1]"
3,"['arose', 'agile', 'abate']","['GXXXG', 'GXXXG', 'GGGGG']","[18, 4, 4]"
4,"['arose', 'lited', 'begin', 'feign']","['XXXXY', 'XYXYX', 'XGYYG', 'GGGGG']","[120, 9, 1, 1]"
3,"['arose', 'vicar', 'major']","['YYYXX', 'XXXYG', 'GGGGG']","[28, 5, 5]"
3,"['arose', 'ictal', 'death']","['YXXXY', 'XXYYX', 'GGGGG']","[78, 6, 6]"
3,"['arose', 'cress', 'fresh']","['XGXGY', 'XGGGY', 'GGGGG']","[6, 2, 2]"
2,"['arose', 'crust']","['XGXGX', 'GGGGG']","[11, 11]"
5,"['arose', 'nicht', 'stomp', 'stood', 'stool']","['XXGYX', 'XXXXY', 'GGGXX', 'GGGGX', 'GGGGG']","[36, 5, 2, 1, 1]"
4,"['arose', 'guilt', 'lobby', 'colon']","['XXYXX', 'XXXYX', 'YGXXX', 'GGGGG']","[104, 5, 1, 1]"
2,"['arose', 'abase']","['GXXGG', 'GGGGG']","[3, 3]"
4,"['arose', 'hairy', 'carry', 'marry']","['YYXXX', 'XGXGG', 'XGGGG', 'GGGGG']","[55, 3, 2, 2]"
4,"['arose', 'melty', 'heart', 'react']","['YYXXY', 'XGXYX', 'XGGYG', 'GGGGG']","[60, 3, 1, 1]"
3,"['arose', 'linty', 'batty']","['YXXXX', 'XXXGG', 'GGGGG']","[148, 5, 5]"
4,"['arose', 'bumpy', 'price', 'pride']","['XGXXG', 'XXXYX', 'GGGXG', 'GGGGG']","[24, 3, 2, 2]"
3,"['arose', 'ghost', 'floss']","['XXGGX', 'XXGGX', 'GGGGG']","[6, 2, 2]"
4,"['arose', 'lited', 'elfin', 'helix']","['XXXXY', 'YYXYX', 'YYXGX', 'GGGGG']","[120, 2, 1, 1]"
3,"['arose', 'broad', 'croak']","['YGGXX', 'XGGGX', 'GGGGG']","[3, 2, 2]"
4,"['arose', 'slant', 'stack', 'staff']","['YXXYX', 'GXGXY', 'GGGXX', 'GGGGG']","[67, 5, 3, 3]"
5,"['arose', 'melty', 'wager', 'caper', 'paper']","['YYXXY', 'XYXXX', 'XGXGG', 'XGGGG', 'GGGGG']","[60, 12, 6, 1, 1]"
3,"['arose', 'lited', 'unfed']","['XXXXY', 'XXXGG', 'GGGGG']","[120, 4, 4]"
4,"['arose', 'lited', 'belch', 'whelp']","['XXXXY', 'YXXYX', 'XYYXY', 'GGGGG']","[120, 9, 1, 1]"
3,"['arose', 'clint', 'trawl']","['YGXXX', 'XYXXY', 'GGGGG']","[43, 1, 1]"
4,"['arose', 'guilt', 'junto', 'outdo']","['XXYXX', 'XGXXY', 'XGXYG', 'GGGGG']","[104, 2, 1, 1]"
3,"['arose', 'anode', 'adobe']","['GXGXG', 'GXGYG', 'GGGGG']","[7, 1, 1]"
5,"['arose', 'clint', 'crack', 'cramp', 'crazy']","['YGXXX', 'GXXXX', 'GGGYX', 'GGGXX', 'GGGGG']","[43, 3, 2, 1, 1]"
4,"['arose', 'loser', 'sober', 'sower']","['XYYYY', 'XGYGG', 'GGXGG', 'GGGGG']","[4, 2, 1, 1]"
4,"['arose', 'melty', 'ready', 'repay']","['YYXXY', 'XGXXG', 'GGYXG', 'GGGGG']","[60, 3, 1, 1]"
3,"['arose', 'lindy', 'digit']","['XXXXX', 'XGXYX', 'GGGGG']","[183, 5, 5]"
4,"['arose', 'grace', 'crane', 'crate']","['YGXXG', 'XGGYG', 'GGGXG', 'GGGGG']","[19, 4, 3, 3]"
4,"['arose', 'lindy', 'clump', 'cluck']","['XXXXX', 'YXXXX', 'GGGXX', 'GGGGG']","[183, 9, 1, 1]"
3,"['arose', 'plink', 'spike']","['XXXYG', 'YXGXY', 'GGGGG']","[24, 1, 1]"
5,"['arose', 'lindy', 'fifth', 'civic', 'mimic']","['XXXXX', 'XGXXX', 'XGXXX', 'YGXGG', 'GGGGG']","[183, 10, 2, 1, 1]"
4,"['arose', 'guilt', 'pouch', 'pound']","['XXYXX', 'XYXXX', 'GGGXX', 'GGGGG']","[104, 9, 1, 1]"
5,"['arose', 'linty', 'mafia', 'magic', 'maxim']","['YXXXX', 'XYXXX', 'GGXGY', 'GGXGX', 'GGGGG']","[148, 5, 2, 1, 1]"
4,"['arose', 'lited', 'liken', 'linen']","['XXXXY', 'GGXGX', 'GGXGG', 'GGGGG']","[120, 3, 1, 1]"
4,"['arose', 'lited', 'tenet', 'unmet']","['XXXXY', 'XXYGX', 'YYYGG', 'GGGGG']","[120, 4, 1, 1]"
3,"['arose', 'chess', 'flesh']","['XXXGY', 'XYGGY', 'GGGGG']","[10, 1, 1]"
3,"['arose', 'child', 'booby']","['XXGXX', 'XXXXX', 'GGGGG']","[39, 6, 6]"
3,"['arose', 'punty', 'forth']","['XYYXX', 'XXXGX', 'GGGGG']","[49, 2, 2]"
3,"['arose', 'burst', 'first']","['XYXGX', 'XXGGG', 'GGGGG']","[2, 1, 1]"
3,"['arose', 'slant', 'stand']","['YXXYX', 'GXGGY', 'GGGGG']","[67, 2, 2]"
4,"['arose', 'lited', 'belch', 'belly']","['XXXXY', 'YXXYX', 'GGGXX', 'GGGGG']","[120, 9, 1, 1]"
3,"['arose', 'choir', 'ivory']","['XYGXX', 'XXGYY', 'GGGGG']","[9, 1, 1]"
4,"['arose', 'dwelt', 'speed', 'seedy']","['XXXYY', 'YXGXX', 'GXGYY', 'GGGGG']","[44, 3, 1, 1]"
4,"['arose', 'cundy', 'bring', 'print']","['XGXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[37, 4, 1, 1]"
3,"['arose', 'melty', 'yearn']","['YYXXY', 'XGXXY', 'GGGGG']","[60, 1, 1]"
4,"['arose', 'clint', 'brain', 'drain']","['YGXXX', 'XXYYX', 'XGGGG', 'GGGGG']","[43, 3, 2, 2]"
3,"['arose', 'bumpy', 'bribe']","['XGXXG', 'GXXXX', 'GGGGG']","[24, 3, 3]"
4,"['arose', 'nicht', 'spout', 'stout']","['XXGYX', 'XXXXG', 'GXGGG', 'GGGGG']","[36, 2, 1, 1]"
4,"['arose', 'ictal', 'bagel', 'panel']","['YXXXY', 'XXXYG', 'XGXGG', 'GGGGG']","[78, 7, 4, 4]"
3,"['arose', 'brash', 'crass']","['YGXGX', 'XGGGX', 'GGGGG']","[7, 3, 3]"
3,"['arose', 'glint', 'flume']","['XXXXG', 'XGXXX', 'GGGGG']","[79, 4, 4]"
4,"['arose', 'canal', 'loyal', 'offal']","['YXYXX', 'XYXGG', 'YYXGG', 'GGGGG']","[44, 4, 1, 1]"
3,"['arose', 'afire', 'agree']","['GYXXG', 'GXXYG', 'GGGGG']","[4, 1, 1]"
3,"['arose', 'credo', 'error']","['XGYXY', 'XGYXY', 'GGGGG']","[3, 1, 1]"
4,"['arose', 'shtup', 'smirk', 'swirl']","['XYXYX', 'GXXXX', 'GXGGX', 'GGGGG']","[21, 2, 1, 1]"
2,"['arose', 'argue']","['GGXXG', 'GGGGG']","[1, 1]"
3,"['arose', 'lited', 'bleed']","['XXXXY', 'YXXGG', 'GGGGG']","[120, 2, 2]"
4,"['arose', 'ictal', 'leant', 'delta']","['YXXXY', 'XXYYY', 'YGYXY', 'GGGGG']","[78, 6, 1, 1]"
5,"['arose', 'lindy', 'blitz', 'click', 'flick']","['XXXXX', 'YYXXX', 'XGGXX', 'YGGGG', 'GGGGG']","[183, 14, 3, 1, 1]"
3,"['arose', 'tined', 'totem']","['XXYXY', 'GXXGX', 'GGGGG']","[47, 2, 2]"
2,"['arose', 'wooer']","['XYGXY', 'GGGGG']","[1, 1]"
3,"['arose', 'puton', 'front']","['XGGXX', 'XXYYY', 'GGGGG']","[38, 1, 1]"
3,"['arose', 'shtup', 'shrub']","['XYXYX', 'GGXGX', 'GGGGG']","[21, 2, 2]"
5,"['arose', 'hairy', 'carry', 'marry', 'parry']","['YYXXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[55, 3, 2, 1, 1]"
3,"['arose', 'bloke', 'biome']","['XXGXG', 'GXGXG', 'GGGGG']","[16, 2, 2]"
5,"['arose', 'ictal', 'bagel', 'panel', 'lapel']","['YXXXY', 'XXXYG', 'XGXGG', 'YGXGG', 'GGGGG']","[78, 7, 4, 1, 1]"
4,"['arose', 'chapt', 'smart', 'start']","['YYXYX', 'XXGXG', 'GXGGG', 'GGGGG']","[21, 2, 1, 1]"
4,"['arose', 'cider', 'green', 'greet']","['XGXXY', 'XXXGY', 'GGGGX', 'GGGGG']","[28, 4, 1, 1]"
3,"['arose', 'woven', 'goner']","['XYYXY', 'XGXGY', 'GGGGG']","[34, 1, 1]"
4,"['arose', 'tined', 'bowel', 'golem']","['XXYXY', 'XXXGX', 'XGXGY', 'GGGGG']","[47, 5, 1, 1]"
5,"['arose', 'skint', 'dusty', 'gusty', 'lusty']","['XXXYX', 'YXXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[79, 4, 3, 2, 2]"
4,"['arose', 'child', 'bloom', 'loopy']","['XXGXX', 'XXXYX', 'XYGYX', 'GGGGG']","[39, 6, 1, 1]"
4,"['arose', 'punty', 'mourn', 'round']","['XYYXX', 'XYYXX', 'XGGYY', 'GGGGG']","[49, 2, 1, 1]"
4,"['arose', 'plait', 'admit', 'audit']","['GXXXX', 'XXYGG', 'GYXGG', 'GGGGG']","[30, 2, 1, 1]"
3,"['arose', 'lindy', 'lying']","['XXXXX', 'GYYXY', 'GGGGG']","[183, 1, 1]"
4,"['arose', 'linty', 'macaw', 'gamma']","['YXXXX', 'XXXXX', 'YGXYX', 'GGGGG']","[148, 11, 1, 1]"
4,"['arose', 'vicar', 'major', 'labor']","['YYYXX', 'XXXYG', 'XGXGG', 'GGGGG']","[28, 5, 2, 2]"
3,"['arose', 'dwelt', 'islet']","['XXXYY', 'XXYYG', 'GGGGG']","[44, 1, 1]"
4,"['arose', 'lindy', 'fifth', 'civic']","['XXXXX', 'XGXXX', 'XGXXX', 'GGGGG']","[183, 10, 2, 2]"
2,"['arose', 'forge']","['XYYXG', 'GGGGG']","[10, 10]"
3,"['arose', 'punty', 'corny']","['XYYXX', 'XXYXG', 'GGGGG']","[49, 2, 2]"
3,"['arose', 'guilt', 'moult']","['XXYXX', 'XYXGG', 'GGGGG']","[104, 1, 1]"
3,"['arose', 'slant', 'basic']","['YXXYX', 'YXYXX', 'GGGGG']","[67, 2, 2]"
4,"['arose', 'slant', 'sadly', 'salad']","['YXXYX', 'GYYXX', 'GGYYX', 'GGGGG']","[67, 3, 1, 1]"
4,"['arose', 'agile', 'agape', 'agate']","['GXXXG', 'GGXXG', 'GGGXG', 'GGGGG']","[18, 2, 1, 1]"
3,"['arose', 'skint', 'spicy']","['XXXYX', 'GXGXX', 'GGGGG']","[79, 4, 4]"
3,"['arose', 'chapt', 'spray']","['YYXYX', 'XXYYX', 'GGGGG']","[21, 1, 1]"
3,"['arose', 'stead', 'essay']","['YXXYY', 'YXYGX', 'GGGGG']","[11, 1, 1]"
3,"['arose', 'choir', 'fjord']","['XYGXX', 'XXGXY', 'GGGGG']","[9, 3, 3]"
4,"['arose', 'dwelt', 'speed', 'spend']","['XXXYY', 'YXGXX', 'GGGYG', 'GGGGG']","[44, 3, 1, 1]"
4,"['arose', 'ictal', 'began', 'kebab']","['YXXXY', 'XXXGX', 'YGXGX', 'GGGGG']","[78, 4, 1, 1]"
4,"['arose', 'lindy', 'build', 'guild']","['XXXXX', 'YYXYX', 'XGGGG', 'GGGGG']","[183, 4, 1, 1]"
3,"['arose', 'plait', 'aback']","['GXXXX', 'XXGXX', 'GGGGG']","[30, 1, 1]"
4,"['arose', 'punty', 'robot', 'motor']","['XYYXX', 'XXXYX', 'YGXGY', 'GGGGG']","[49, 6, 1, 1]"
3,"['arose', 'anode', 'alone']","['GXGXG', 'GYGXG', 'GGGGG']","[7, 2, 2]"
5,"['arose', 'linty', 'caput', 'batch', 'hatch']","['YXXXX', 'XXXYX', 'YGXXY', 'XGGGG', 'GGGGG']","[148, 9, 4, 3, 3]"
4,"['arose', 'lited', 'buyer', 'hyper']","['XYXXY', 'XXXGX', 'XXYGG', 'GGGGG']","[103, 14, 1, 1]"
4,"['arose', 'lindy', 'butch', 'thumb']","['XXXXX', 'XXXXX', 'YYYXY', 'GGGGG']","[183, 7, 1, 1]"
3,"['arose', 'punty', 'dowry']","['XYYXX', 'XXXXG', 'GGGGG']","[49, 6, 6]"
3,"['arose', 'guilt', 'ought']","['XXYXX', 'YGXXG', 'GGGGG']","[104, 1, 1]"
3,"['arose', 'lited', 'belch']","['XXXXY', 'YXXYX', 'GGGGG']","[120, 9, 9]"
3,"['arose', 'lindy', 'dutch']","['XXXXX', 'XXXYX', 'GGGGG']","[183, 1, 1]"
3,"['arose', 'guilt', 'pilot']","['XXYXX', 'XXYYG', 'GGGGG']","[104, 1, 1]"
3,"['arose', 'lited', 'tweed']","['XXXXY', 'XXYGG', 'GGGGG']","[120, 1, 1]"
3,"['arose', 'tined', 'comet']","['XXYXY', 'YXXGX', 'GGGGG']","[47, 5, 5]"
6,"['arose', 'linty', 'thank', 'daunt', 'gaunt', 'jaunt']","['YXXXX', 'XXYYX', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[148, 9, 4, 3, 2, 2]"
4,"['arose', 'ictal', 'haven', 'enema']","['YXXXY', 'XXXYX', 'XYXYY', 'GGGGG']","[78, 7, 1, 1]"
3,"['arose', 'dwelt', 'steed']","['XXXYY', 'YXGXY', 'GGGGG']","[44, 1, 1]"
3,"['arose', 'amass', 'abyss']","['GXXGX', 'GXYGG', 'GGGGG']","[5, 1, 1]"
4,"['arose', 'puton', 'crowd', 'growl']","['XGGXX', 'XXXYX', 'XGGGX', 'GGGGG']","[38, 6, 1, 1]"
4,"['arose', 'lindy', 'cling', 'fling']","['XXXXX', 'YYYXX', 'XGGGG', 'GGGGG']","[183, 8, 1, 1]"
3,"['arose', 'tined', 'dozen']","['XXYXY', 'XXYGY', 'GGGGG']","[47, 2, 2]"
5,"['arose', 'child', 'booby', 'booty', 'boozy']","['XXGXX', 'XXXXX', 'GGGYG', 'GGGXG', 'GGGGG']","[39, 6, 2, 1, 1]"
4,"['arose', 'prove', 'drone', 'erode']","['XGGXG', 'XGGXG', 'YGGXG', 'GGGGG']","[14, 6, 1, 1]"
4,"['arose', 'punty', 'rigor', 'world']","['XYYXX', 'XXXXX', 'YXXYY', 'GGGGG']","[49, 6, 1, 1]"
3,"['arose', 'vogue', 'gouge']","['XXYXG', 'XGYYG', 'GGGGG']","[14, 1, 1]"
4,"['arose', 'lindy', 'blitz', 'click']","['XXXXX', 'YYXXX', 'XGGXX', 'GGGGG']","[183, 14, 3, 3]"
3,"['arose', 'clint', 'briar']","['YGXXX', 'XXGXX', 'GGGGG']","[43, 2, 2]"
