steps,words,feedback,ncands
3,"['lores', 'diact', 'cigar']","['XXYXX', 'XGYYX', 'GGGGG']","[109, 2, 2]"
4,"['lores', 'tragi', 'recut', 'rebut']","['XXYYX', 'YYXXX', 'GGXGG', 'GGGGG']","[111, 6, 1, 1]"
4,"['lores', 'snath', 'spicy', 'sissy']","['XXXXY', 'GXXXX', 'GXYXG', 'GGGGG']","[122, 6, 1, 1]"
3,"['lores', 'daint', 'humph']","['XXXXX', 'XXXXX', 'GGGGG']","[215, 13, 13]"
6,"['lores', 'diane', 'agape', 'abate', 'amaze', 'awake']","['XXXYX', 'XXGXG', 'GXGXG', 'GXGXG', 'GXGXG', 'GGGGG']","[163, 10, 3, 2, 1, 1]"
3,"['lores', 'hault', 'blush']","['YXXXY', 'YXGYX', 'GGGGG']","[58, 4, 4]"
3,"['lores', 'fully', 'focal']","['YGXXX', 'GXYYX', 'GGGGG']","[27, 1, 1]"
4,"['lores', 'diane', 'adage', 'evade']","['XXXYX', 'YXGXG', 'YYGXG', 'GGGGG']","[163, 2, 1, 1]"
5,"['lores', 'inula', 'blank', 'natal', 'naval']","['YXXXX', 'XYXYY', 'XYYYX', 'GGXGG', 'GGGGG']","[130, 12, 3, 1, 1]"
3,"['lores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[10, 1, 1]"
4,"['lores', 'diane', 'beach', 'heath']","['XXXYX', 'XXGXY', 'XGGXG', 'GGGGG']","[163, 7, 1, 1]"
4,"['lores', 'diact', 'drank', 'dwarf']","['XXYXX', 'GXGXX', 'GYGXX', 'GGGGG']","[109, 4, 1, 1]"
4,"['lores', 'towel', 'hovel', 'model']","['YGXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[10, 3, 1, 1]"
3,"['lores', 'chart', 'karma']","['XXGXX', 'XXYYX', 'GGGGG']","[29, 3, 3]"
4,"['lores', 'snath', 'sting', 'stink']","['XXXXY', 'GYXYX', 'GGGGX', 'GGGGG']","[122, 6, 2, 2]"
4,"['lores', 'tragi', 'grace', 'grade']","['XXYYX', 'XGGYX', 'GGGXG', 'GGGGG']","[111, 5, 4, 4]"
3,"['lores', 'daint', 'quiet']","['XXXGX', 'XXGXG', 'GGGGG']","[37, 1, 1]"
3,"['lores', 'diane', 'bench']","['XXXYX', 'XXXYY', 'GGGGG']","[163, 5, 5]"
4,"['lores', 'diane', 'agape', 'abate']","['XXXYX', 'XXGXG', 'GXGXG', 'GGGGG']","[163, 10, 3, 3]"
4,"['lores', 'diane', 'begin', 'feign']","['XXXYX', 'XYXYY', 'XGYYG', 'GGGGG']","[163, 5, 1, 1]"
3,"['lores', 'capon', 'major']","['XYYXX', 'XGXGX', 'GGGGG']","[78, 4, 4]"
3,"['lores', 'diane', 'death']","['XXXYX', 'GXGXY', 'GGGGG']","[163, 1, 1]"
3,"['lores', 'chare', 'fresh']","['XXYYY', 'XYXYY', 'GGGGG']","[22, 1, 1]"
3,"['lores', 'thack', 'crust']","['XXYXY', 'YXXYX', 'GGGGG']","[38, 1, 1]"
3,"['lores', 'sloop', 'stool']","['YYXXY', 'GYGGX', 'GGGGG']","[11, 1, 1]"
3,"['lores', 'fully', 'colon']","['YGXXX', 'XXGYX', 'GGGGG']","[27, 2, 2]"
3,"['lores', 'saith', 'abase']","['XXXYY', 'YYXXX', 'GGGGG']","[88, 6, 6]"
3,"['lores', 'chart', 'marry']","['XXGXX', 'XXYGX', 'GGGGG']","[29, 2, 2]"
4,"['lores', 'tragi', 'heart', 'react']","['XXYYX', 'YYGXX', 'XGGYG', 'GGGGG']","[111, 2, 1, 1]"
4,"['lores', 'daint', 'batch', 'batty']","['XXXXX', 'XGXXY', 'GGGXX', 'GGGGG']","[215, 14, 1, 1]"
3,"['lores', 'tragi', 'pride']","['XXYYX', 'XGXXY', 'GGGGG']","[111, 10, 10]"
2,"['lores', 'floss']","['YYXXG', 'GGGGG']","[2, 2]"
