steps,words,feedback,ncands
3,"['nares', 'droit', 'cigar']","['XYYXX', 'XYXYX', 'GGGGG']","[71, 3, 3]"
4,"['nares', 'tride', 'metro', 'rebut']","['XXYYX', 'YYXXY', 'XGYYX', 'GGGGG']","[75, 8, 2, 2]"
4,"['nares', 'sloth', 'spicy', 'sissy']","['XXXXY', 'GXXXX', 'GXYXG', 'GGGGG']","[115, 6, 1, 1]"
4,"['nares', 'doily', 'butch', 'humph']","['XXXXX', 'XXXXX', 'XGXXG', 'GGGGG']","[219, 7, 1, 1]"
5,"['nares', 'dealt', 'agape', 'amaze', 'awake']","['XYXYX', 'XYGXX', 'GXGXG', 'GXGXG', 'GGGGG']","[90, 6, 2, 1, 1]"
3,"['nares', 'sloth', 'blush']","['XXXXY', 'YGXXG', 'GGGGG']","[115, 3, 3]"
3,"['nares', 'copal', 'focal']","['XYXXX', 'YGXGG', 'GGGGG']","[94, 3, 3]"
4,"['nares', 'dealt', 'adage', 'evade']","['XYXYX', 'YYGXX', 'YYGXG', 'GGGGG']","[90, 2, 1, 1]"
3,"['nares', 'natal', 'naval']","['GGXXX', 'GGXGG', 'GGGGG']","[3, 1, 1]"
3,"['nares', 'verso', 'serve']","['XXGYY', 'YGGYX', 'GGGGG']","[11, 1, 1]"
3,"['nares', 'dealt', 'heath']","['XYXYX', 'XGGXY', 'GGGGG']","[90, 3, 3]"
3,"['nares', 'droit', 'dwarf']","['XYYXX', 'GYXXX', 'GGGGG']","[71, 1, 1]"
3,"['nares', 'metol', 'model']","['XXXGX', 'GYXYG', 'GGGGG']","[49, 1, 1]"
4,"['nares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[17, 5, 1, 1]"
4,"['nares', 'pluot', 'sting', 'stink']","['YXXXY', 'XXXXY', 'GGGGX', 'GGGGG']","[35, 2, 1, 1]"
3,"['nares', 'crate', 'grade']","['XYYYX', 'XGGXG', 'GGGGG']","[63, 9, 9]"
4,"['nares', 'metol', 'duvet', 'quiet']","['XXXGX', 'XYYXX', 'XGXGG', 'GGGGG']","[49, 5, 1, 1]"
3,"['nares', 'incog', 'bench']","['YXXYX', 'XYYXX', 'GGGGG']","[55, 6, 6]"
3,"['nares', 'dealt', 'abate']","['XYXYX', 'XYGXY', 'GGGGG']","[90, 3, 3]"
5,"['nares', 'incog', 'begin', 'deign', 'feign']","['YXXYX', 'YYXXY', 'XGYYG', 'XGGGG', 'GGGGG']","[55, 6, 2, 1, 1]"
4,"['nares', 'roily', 'favor', 'major']","['XGYXX', 'YYXXX', 'XGXGG', 'GGGGG']","[23, 4, 1, 1]"
3,"['nares', 'dealt', 'death']","['XYXYX', 'GGGXY', 'GGGGG']","[90, 1, 1]"
4,"['nares', 'prose', 'crest', 'fresh']","['XXYYY', 'XGXGY', 'XGGGX', 'GGGGG']","[14, 3, 1, 1]"
3,"['nares', 'moist', 'crust']","['XXYXY', 'XXXGG', 'GGGGG']","[30, 3, 3]"
3,"['nares', 'sloth', 'stool']","['XXXXY', 'GYGYX', 'GGGGG']","[115, 1, 1]"
3,"['nares', 'yonic', 'colon']","['YXXXX', 'XGYXY', 'GGGGG']","[99, 2, 2]"
4,"['nares', 'shakt', 'cease', 'abase']","['XYXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[42, 4, 1, 1]"
5,"['nares', 'party', 'carry', 'harry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 4, 2, 1, 1]"
3,"['nares', 'crate', 'react']","['XYYYX', 'YYGYY', 'GGGGG']","[63, 1, 1]"
3,"['nares', 'dicty', 'batty']","['XGXXX', 'XXXGG', 'GGGGG']","[71, 4, 4]"
4,"['nares', 'tride', 'bride', 'pride']","['XXYYX', 'XGGGG', 'XGGGG', 'GGGGG']","[75, 2, 1, 1]"
3,"['nares', 'ficus', 'floss']","['XXXXG', 'GXXXG', 'GGGGG']","[9, 1, 1]"
4,"['nares', 'toile', 'devil', 'helix']","['XXXYX', 'XXYYY', 'XGXGY', 'GGGGG']","[140, 2, 1, 1]"
4,"['nares', 'droit', 'aroma', 'croak']","['XYYXX', 'XGGXX', 'YGGXY', 'GGGGG']","[71, 2, 1, 1]"
4,"['nares', 'smalt', 'stack', 'staff']","['XYXXY', 'GXGXY', 'GGGXX', 'GGGGG']","[53, 5, 3, 3]"
4,"['nares', 'gript', 'caper', 'paper']","['XGYGX', 'XYXYX', 'XGGGG', 'GGGGG']","[25, 4, 1, 1]"
3,"['nares', 'vodun', 'unfed']","['YXXGX', 'XXYYY', 'GGGGG']","[28, 2, 2]"
4,"['nares', 'toile', 'dwell', 'whelp']","['XXXYX', 'XXXGY', 'XYGGY', 'GGGGG']","[140, 5, 1, 1]"
5,"['nares', 'droit', 'track', 'tramp', 'trawl']","['XYYXX', 'XGXXY', 'GGGXX', 'GGGXX', 'GGGGG']","[71, 4, 2, 1, 1]"
3,"['nares', 'doily', 'outdo']","['XXXXX', 'YYXXX', 'GGGGG']","[219, 1, 1]"
4,"['nares', 'dealt', 'abide', 'adobe']","['XYXYX', 'YYYXX', 'GYXYG', 'GGGGG']","[90, 4, 1, 1]"
5,"['nares', 'droit', 'wrack', 'cramp', 'crazy']","['XYYXX', 'XGXXX', 'XGGYX', 'GGGXX', 'GGGGG']","[71, 8, 2, 1, 1]"
2,"['nares', 'sower']","['XXYGY', 'GGGGG']","[16, 16]"
4,"['nares', 'crate', 'relay', 'repay']","['XYYYX', 'XYYXY', 'GGXGG', 'GGGGG']","[63, 9, 1, 1]"
3,"['nares', 'doily', 'digit']","['XXXXX', 'GXYXX', 'GGGGG']","[219, 2, 2]"
2,"['nares', 'crate']","['XYYYX', 'GGGGG']","[63, 63]"
4,"['nares', 'doily', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'GGGXX', 'GGGGG']","[219, 9, 1, 1]"
4,"['nares', 'poult', 'speck', 'spike']","['XXXYY', 'YXXXX', 'GGYXY', 'GGGGG']","[68, 3, 1, 1]"
5,"['nares', 'doily', 'fifth', 'civic', 'mimic']","['XXXXX', 'XXYXX', 'XGXXX', 'YGXGG', 'GGGGG']","[219, 12, 2, 1, 1]"
7,"['nares', 'yonic', 'bound', 'found', 'hound', 'mound', 'pound']","['YXXXX', 'XGYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[99, 7, 5, 4, 3, 2, 2]"
4,"['nares', 'dicty', 'mafia', 'maxim']","['XGXXX', 'XYXXX', 'GGXGY', 'GGGGG']","[71, 2, 1, 1]"
4,"['nares', 'vodun', 'liken', 'linen']","['YXXGX', 'XXXXG', 'GGXGG', 'GGGGG']","[28, 3, 1, 1]"
3,"['nares', 'vodun', 'unmet']","['YXXGX', 'XXXYY', 'GGGGG']","[28, 1, 1]"
4,"['nares', 'poult', 'slice', 'flesh']","['XXXYY', 'XXXYX', 'YGXXY', 'GGGGG']","[68, 5, 1, 1]"
4,"['nares', 'doily', 'booty', 'booby']","['XXXXX', 'XGXXG', 'GGGXG', 'GGGGG']","[219, 11, 2, 2]"
3,"['nares', 'yourt', 'forth']","['XXGXX', 'XGXYY', 'GGGGG']","[36, 3, 3]"
3,"['nares', 'burst', 'first']","['XXGXY', 'XXGGG', 'GGGGG']","[14, 2, 2]"
3,"['nares', 'slant', 'stand']","['YYXXY', 'GXGGY', 'GGGGG']","[15, 2, 2]"
4,"['nares', 'toile', 'dwell', 'belly']","['XXXYX', 'XXXGY', 'XXYGY', 'GGGGG']","[140, 5, 2, 2]"
4,"['nares', 'dicot', 'broil', 'ivory']","['XXYXX', 'XYXYX', 'XYGYX', 'GGGGG']","[93, 3, 1, 1]"
4,"['nares', 'poult', 'geese', 'seedy']","['XXXYY', 'XXXXX', 'XGGYY', 'GGGGG']","[68, 6, 1, 1]"
4,"['nares', 'thong', 'brunt', 'print']","['YXYXX', 'YXXGX', 'XGXGG', 'GGGGG']","[35, 2, 1, 1]"
3,"['nares', 'learn', 'yearn']","['YYYYX', 'XGGGG', 'GGGGG']","[5, 1, 1]"
3,"['nares', 'dwang', 'drain']","['YYYXX', 'GXGYX', 'GGGGG']","[21, 1, 1]"
4,"['nares', 'tride', 'price', 'bribe']","['XXYYX', 'XGGXG', 'XGGXG', 'GGGGG']","[75, 7, 2, 2]"
5,"['nares', 'sloth', 'scout', 'spout', 'stout']","['XXXXY', 'GXGYX', 'GXGGG', 'GXGGG', 'GGGGG']","[115, 8, 2, 1, 1]"
3,"['nares', 'taken', 'panel']","['YGXGX', 'XGXGY', 'GGGGG']","[7, 1, 1]"
3,"['nares', 'brass', 'crass']","['XYYXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
