steps,words,feedback,ncands
3,"['raile', 'braid', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[14, 3, 3]"
3,"['raile', 'ruder', 'rebut']","['GXXXY', 'GYXYY', 'GGGGG']","[17, 4, 4]"
3,"['raile', 'synth', 'sissy']","['XXYXX', 'GYXXX', 'GGGGG']","[98, 1, 1]"
4,"['raile', 'dusty', 'buxom', 'humph']","['XXXXX', 'XGXXX', 'XGXXY', 'GGGGG']","[173, 8, 2, 2]"
3,"['raile', 'stock', 'awake']","['XYXXG', 'XXXXY', 'GGGGG']","[43, 3, 3]"
4,"['raile', 'clons', 'slump', 'blush']","['XXXYX', 'XGXXY', 'YGGXX', 'GGGGG']","[66, 5, 2, 2]"
3,"['raile', 'clons', 'focal']","['XYXYX', 'YYYXX', 'GGGGG']","[64, 4, 4]"
4,"['raile', 'stock', 'adage', 'evade']","['XYXXG', 'XXXXX', 'YYGXG', 'GGGGG']","[43, 6, 1, 1]"
4,"['raile', 'scran', 'natal', 'naval']","['XGXYX', 'XXXGY', 'GGXGG', 'GGGGG']","[22, 3, 1, 1]"
4,"['raile', 'sport', 'scree', 'serve']","['YXXXG', 'GXXYX', 'GXGYG', 'GGGGG']","[58, 3, 2, 2]"
3,"['raile', 'tends', 'heath']","['XYXXY', 'YGXXX', 'GGGGG']","[50, 3, 3]"
4,"['raile', 'scorn', 'award', 'dwarf']","['YYXXX', 'XXXGX', 'YGGGY', 'GGGGG']","[91, 8, 1, 1]"
4,"['raile', 'botel', 'dowel', 'model']","['XXXYY', 'XGXGG', 'YGXGG', 'GGGGG']","[49, 5, 1, 1]"
4,"['raile', 'compt', 'marry', 'karma']","['YGXXX', 'XXYXX', 'YGGYX', 'GGGGG']","[26, 3, 1, 1]"
4,"['raile', 'towns', 'sting', 'stink']","['XXGXX', 'YXXGY', 'GGGGX', 'GGGGG']","[54, 3, 2, 2]"
3,"['raile', 'gucks', 'grade']","['YYXXG', 'GXXXX', 'GGGGG']","[30, 5, 5]"
4,"['raile', 'heist', 'edict', 'quiet']","['XXGXY', 'XYGXG', 'YXGXG', 'GGGGG']","[18, 3, 1, 1]"
3,"['raile', 'seton', 'bench']","['XXXXY', 'XGXXY', 'GGGGG']","[104, 4, 4]"
3,"['raile', 'stock', 'abate']","['XYXXG', 'XYXXX', 'GGGGG']","[43, 2, 2]"
4,"['raile', 'heist', 'deign', 'feign']","['XXGXY', 'XGGXX', 'XGGGG', 'GGGGG']","[18, 3, 1, 1]"
3,"['raile', 'compt', 'major']","['YGXXX', 'XYYXX', 'GGGGG']","[26, 3, 3]"
3,"['raile', 'tends', 'death']","['XYXXY', 'YGXYX', 'GGGGG']","[50, 1, 1]"
3,"['raile', 'dotes', 'fresh']","['YXXXY', 'XXXYY', 'GGGGG']","[112, 3, 3]"
3,"['raile', 'donut', 'crust']","['YXXXX', 'XXXYG', 'GGGGG']","[119, 4, 4]"
4,"['raile', 'clons', 'spool', 'stool']","['XXXYX', 'XYGXY', 'GXGGG', 'GGGGG']","[66, 2, 1, 1]"
3,"['raile', 'clons', 'colon']","['XXXYX', 'GYYYX', 'GGGGG']","[66, 1, 1]"
3,"['raile', 'stock', 'abase']","['XYXXG', 'YXXXX', 'GGGGG']","[43, 5, 5]"
3,"['raile', 'compt', 'marry']","['YGXXX', 'XXYXX', 'GGGGG']","[26, 3, 3]"
3,"['raile', 'reach', 'react']","['GYXXY', 'GGGGX', 'GGGGG']","[8, 1, 1]"
3,"['raile', 'nutsy', 'batty']","['XGXXX', 'XXGXG', 'GGGGG']","[85, 5, 5]"
4,"['raile', 'tripe', 'price', 'pride']","['YXGXG', 'XGGYG', 'GGGXG', 'GGGGG']","[19, 4, 3, 3]"
3,"['raile', 'clons', 'floss']","['XXXYX', 'XGGXG', 'GGGGG']","[66, 2, 2]"
3,"['raile', 'inlet', 'helix']","['XXYYY', 'YXGYX', 'GGGGG']","[11, 1, 1]"
3,"['raile', 'scorn', 'croak']","['YYXXX', 'XYGYX', 'GGGGG']","[91, 1, 1]"
4,"['raile', 'thans', 'coast', 'staff']","['XYXXX', 'YXGXY', 'XXGYY', 'GGGGG']","[76, 5, 2, 2]"
4,"['raile', 'tymps', 'caper', 'paper']","['YGXXY', 'XXXYX', 'XGGGG', 'GGGGG']","[24, 3, 1, 1]"
3,"['raile', 'seton', 'unfed']","['XXXXY', 'XYXXY', 'GGGGG']","[104, 4, 4]"
2,"['raile', 'whelp']","['XXXGY', 'GGGGG']","[18, 18]"
6,"['raile', 'alarm', 'brawl', 'crawl', 'drawl', 'trawl']","['YYXYX', 'YYGYX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 4, 3, 2, 1, 1]"
3,"['raile', 'dusty', 'outdo']","['XXXXX', 'YGXYX', 'GGGGG']","[173, 1, 1]"
4,"['raile', 'stock', 'abode', 'adobe']","['XYXXG', 'XXGXX', 'GYGYG', 'GGGGG']","[43, 4, 1, 1]"
5,"['raile', 'scorn', 'track', 'cramp', 'crazy']","['YYXXX', 'XYXYX', 'XGGYX', 'GGGXX', 'GGGGG']","[91, 7, 2, 1, 1]"
4,"['raile', 'dotes', 'sober', 'sower']","['YXXXY', 'XGXGY', 'GGXGG', 'GGGGG']","[112, 3, 1, 1]"
4,"['raile', 'reach', 'rebar', 'repay']","['GYXXY', 'GGYXX', 'GGXGY', 'GGGGG']","[8, 2, 1, 1]"
4,"['raile', 'synth', 'motif', 'digit']","['XXYXX', 'XXXYX', 'XXYGX', 'GGGGG']","[98, 9, 1, 1]"
4,"['raile', 'gucks', 'crane', 'crate']","['YYXXG', 'XXYXX', 'GGGXG', 'GGGGG']","[30, 6, 3, 3]"
3,"['raile', 'clons', 'cluck']","['XXXYX', 'GGXXX', 'GGGGG']","[66, 2, 2]"
4,"['raile', 'snout', 'spice', 'spike']","['XXGXG', 'GXXXX', 'GGGXG', 'GGGGG']","[29, 3, 1, 1]"
4,"['raile', 'synth', 'civic', 'mimic']","['XXYXX', 'XXXXX', 'YGXGG', 'GGGGG']","[98, 8, 1, 1]"
7,"['raile', 'dusty', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'YYXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[173, 6, 5, 4, 3, 2, 2]"
4,"['raile', 'cabin', 'mafia', 'maxim']","['XGYXX', 'XGXGX', 'GGXGY', 'GGGGG']","[16, 4, 1, 1]"
4,"['raile', 'inlet', 'liken', 'linen']","['XXYYY', 'YYYGX', 'GGXGG', 'GGGGG']","[11, 2, 1, 1]"
4,"['raile', 'seton', 'event', 'unmet']","['XXXXY', 'XYYXY', 'YXYYG', 'GGGGG']","[104, 2, 1, 1]"
3,"['raile', 'botel', 'flesh']","['XXXYY', 'XXXYY', 'GGGGG']","[49, 7, 7]"
3,"['raile', 'dusty', 'booby']","['XXXXX', 'XXXXG', 'GGGGG']","[173, 11, 11]"
3,"['raile', 'donut', 'forth']","['YXXXX', 'XGXXY', 'GGGGG']","[119, 6, 6]"
3,"['raile', 'chogs', 'first']","['YXYXX', 'XXXXY', 'GGGGG']","[24, 2, 2]"
3,"['raile', 'thans', 'stand']","['XYXXX', 'YXGGY', 'GGGGG']","[76, 3, 3]"
3,"['raile', 'whelp', 'belly']","['XXXGY', 'XXYGX', 'GGGGG']","[18, 4, 4]"
4,"['raile', 'chogs', 'droit', 'ivory']","['YXYXX', 'XXGXX', 'XYGYX', 'GGGGG']","[24, 3, 1, 1]"
3,"['raile', 'seton', 'seedy']","['XXXXY', 'GGXXX', 'GGGGG']","[104, 1, 1]"
3,"['raile', 'knosp', 'print']","['YXGXX', 'XYXXY', 'GGGGG']","[30, 1, 1]"
