steps,words,feedback,ncands
3,"['raise', 'brain', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[18, 4, 4]"
3,"['raise', 'ruler', 'rebut']","['GXXXY', 'GYXYY', 'GGGGG']","[20, 3, 3]"
4,"['raise', 'gipsy', 'missy', 'sissy']","['XXYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[6, 2, 1, 1]"
3,"['raise', 'bludy', 'humph']","['XXXXX', 'XXYXX', 'GGGGG']","[168, 10, 10]"
4,"['raise', 'album', 'adage', 'awake']","['XYXXG', 'GXXXX', 'GXGXG', 'GGGGG']","[41, 7, 1, 1]"
2,"['raise', 'blush']","['XXXGX', 'GGGGG']","[17, 17]"
3,"['raise', 'cloak', 'focal']","['XYXXX', 'YYYGX', 'GGGGG']","[92, 4, 4]"
4,"['raise', 'album', 'heave', 'evade']","['XYXXG', 'YXXXX', 'XYGYG', 'GGGGG']","[41, 7, 2, 2]"
3,"['raise', 'bunty', 'naval']","['XGXXX', 'XXYXX', 'GGGGG']","[91, 3, 3]"
3,"['raise', 'score', 'serve']","['YXXYG', 'GXXYG', 'GGGGG']","[10, 3, 3]"
4,"['raise', 'metal', 'death', 'heath']","['XYXXY', 'XGYYX', 'XGGGG', 'GGGGG']","[69, 3, 1, 1]"
4,"['raise', 'tronc', 'award', 'dwarf']","['YYXXX', 'XYXXX', 'YGGGY', 'GGGGG']","[78, 9, 1, 1]"
4,"['raise', 'toled', 'dowel', 'model']","['XXXXY', 'XGYGY', 'YGXGG', 'GGGGG']","[121, 2, 1, 1]"
3,"['raise', 'clomp', 'karma']","['YGXXX', 'XXXGX', 'GGGGG']","[26, 1, 1]"
3,"['raise', 'plunk', 'stink']","['XXGYX', 'XXXGG', 'GGGGG']","[29, 1, 1]"
3,"['raise', 'gryce', 'grade']","['YYXXG', 'GGXXG', 'GGGGG']","[26, 5, 5]"
4,"['raise', 'deign', 'chief', 'quiet']","['XXGXY', 'XYGXX', 'XXGGX', 'GGGGG']","[15, 4, 1, 1]"
4,"['raise', 'toled', 'beech', 'bench']","['XXXXY', 'XXXYX', 'GGYGG', 'GGGGG']","[121, 9, 1, 1]"
4,"['raise', 'album', 'abode', 'abate']","['XYXXG', 'GXYXX', 'GGXXG', 'GGGGG']","[41, 4, 1, 1]"
3,"['raise', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[15, 1, 1]"
3,"['raise', 'clomp', 'major']","['YGXXX', 'XXYYX', 'GGGGG']","[26, 3, 3]"
3,"['raise', 'metal', 'death']","['XYXXY', 'XGYYX', 'GGGGG']","[69, 3, 3]"
3,"['raise', 'cress', 'fresh']","['YXXGY', 'XGGGY', 'GGGGG']","[7, 2, 2]"
2,"['raise', 'crust']","['YXXGX', 'GGGGG']","[13, 13]"
4,"['raise', 'punty', 'stood', 'stool']","['XXXYX', 'XXXYX', 'GGGGX', 'GGGGG']","[80, 4, 1, 1]"
3,"['raise', 'bludy', 'colon']","['XXXXX', 'XYXXX', 'GGGGG']","[168, 2, 2]"
3,"['raise', 'cease', 'abase']","['XYXGG', 'XYGGG', 'GGGGG']","[8, 2, 2]"
