steps,words,feedback,ncands
4,"['rales', 'tronc', 'acrid', 'cigar']","['YYXXX', 'XYXXY', 'YYYYX', 'GGGGG']","[80, 7, 2, 2]"
3,"['rales', 'recut', 'rebut']","['GXXYX', 'GGXGG', 'GGGGG']","[17, 1, 1]"
3,"['rales', 'skint', 'sissy']","['XXXXY', 'GXYXX', 'GGGGG']","[114, 3, 3]"
4,"['rales', 'notum', 'dummy', 'humph']","['XXXXX', 'XXXYY', 'XGGYX', 'GGGGG']","[205, 10, 1, 1]"
5,"['rales', 'neath', 'adage', 'amaze', 'awake']","['XYXYX', 'XYGXX', 'GXGXG', 'GXGXG', 'GGGGG']","[59, 7, 2, 1, 1]"
3,"['rales', 'plouk', 'blush']","['XXYXY', 'XGXYX', 'GGGGG']","[31, 4, 4]"
3,"['rales', 'acton', 'focal']","['XYYXX', 'YYXYX', 'GGGGG']","[67, 4, 4]"
4,"['rales', 'neath', 'adage', 'evade']","['XYXYX', 'XYGXX', 'YYGXG', 'GGGGG']","[59, 7, 1, 1]"
4,"['rales', 'vault', 'cavil', 'naval']","['XGYXX', 'YGXYX', 'XGGXG', 'GGGGG']","[20, 2, 1, 1]"
3,"['rales', 'stope', 'serve']","['YXXYY', 'GXXXG', 'GGGGG']","[26, 3, 3]"
4,"['rales', 'neath', 'death', 'heath']","['XYXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
4,"['rales', 'tronc', 'award', 'dwarf']","['YYXXX', 'XYXXX', 'YGGGY', 'GGGGG']","[80, 8, 1, 1]"
5,"['rales', 'netop', 'bowel', 'hovel', 'model']","['XXYGX', 'XYXYX', 'XGXGG', 'XGXGG', 'GGGGG']","[30, 5, 2, 1, 1]"
3,"['rales', 'mothy', 'karma']","['YGXXX', 'YXXXX', 'GGGGG']","[28, 1, 1]"
3,"['rales', 'skint', 'stink']","['XXXXY', 'GYGGY', 'GGGGG']","[114, 1, 1]"
3,"['rales', 'track', 'grade']","['YYXYX', 'XGGXX', 'GGGGG']","[49, 7, 7]"
3,"['rales', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['rales', 'unite', 'bench']","['XXXYX', 'XYXXY', 'GGGGG']","[130, 7, 7]"
3,"['rales', 'neath', 'abate']","['XYXYX', 'XYGGX', 'GGGGG']","[59, 3, 3]"
4,"['rales', 'unite', 'deign', 'feign']","['XXXYX', 'XYGXY', 'XGGGG', 'GGGGG']","[130, 6, 1, 1]"
3,"['rales', 'mothy', 'major']","['YGXXX', 'GYXXX', 'GGGGG']","[28, 3, 3]"
3,"['rales', 'neath', 'death']","['XYXYX', 'XGGGG', 'GGGGG']","[59, 2, 2]"
