steps,words,feedback,ncands
2,"['reais', 'cigar']","['YXYYX', 'GGGGG']","[12, 12]"
2,"['reais', 'rebut']","['GGXXX', 'GGGGG']","[15, 15]"
4,"['reais', 'skint', 'silly', 'sissy']","['XXXYY', 'GXYXX', 'GGXXG', 'GGGGG']","[53, 3, 1, 1]"
3,"['reais', 'bludy', 'humph']","['XXXXX', 'XXYXX', 'GGGGG']","[168, 10, 10]"
3,"['reais', 'glift', 'awake']","['XYGXX', 'XXXXX', 'GGGGG']","[26, 5, 5]"
3,"['reais', 'muton', 'blush']","['XXXXY', 'XYXXX', 'GGGGG']","[89, 8, 8]"
3,"['reais', 'canty', 'focal']","['XXYXX', 'YYXXX', 'GGGGG']","[150, 4, 4]"
4,"['reais', 'glift', 'awake', 'evade']","['XYGXX', 'XXXXX', 'YXGXG', 'GGGGG']","[26, 5, 1, 1]"
4,"['reais', 'canty', 'pagan', 'naval']","['XXYXX', 'XGYXX', 'XGXGY', 'GGGGG']","[150, 4, 1, 1]"
2,"['reais', 'serve']","['YGXXY', 'GGGGG']","[7, 7]"
3,"['reais', 'hotly', 'heath']","['XGGXX', 'GXYXX', 'GGGGG']","[21, 1, 1]"
4,"['reais', 'tronc', 'award', 'dwarf']","['YXGXX', 'XYXXX', 'YGGGY', 'GGGGG']","[44, 6, 1, 1]"
5,"['reais', 'noble', 'towel', 'hovel', 'model']","['XYXXX', 'XGXYY', 'XGXGG', 'XGXGG', 'GGGGG']","[121, 8, 2, 1, 1]"
3,"['reais', 'cymol', 'karma']","['YXYXX', 'XXYXX', 'GGGGG']","[60, 2, 2]"
3,"['reais', 'skint', 'stink']","['XXXYY', 'GYGGY', 'GGGGG']","[53, 1, 1]"
3,"['reais', 'drack', 'grade']","['YYGXX', 'YGGXX', 'GGGGG']","[22, 2, 2]"
4,"['reais', 'cline', 'edify', 'quiet']","['XYXYX', 'XXGXY', 'YXGXX', 'GGGGG']","[74, 3, 1, 1]"
4,"['reais', 'lythe', 'beech', 'bench']","['XGXXX', 'XXXYY', 'GGYGG', 'GGGGG']","[61, 3, 1, 1]"
3,"['reais', 'glift', 'abate']","['XYGXX', 'XXXXY', 'GGGGG']","[26, 2, 2]"
