steps,words,feedback,ncands
4,"['roate', 'ihram', 'briar', 'cigar']","['YXYXX', 'YXYGX', 'XYYGG', 'GGGGG']","[35, 4, 2, 2]"
3,"['roate', 'rivet', 'rebut']","['GXXYY', 'GXXYG', 'GGGGG']","[8, 2, 2]"
4,"['roate', 'limns', 'gipsy', 'sissy']","['XXXXX', 'XGXXY', 'XGXGG', 'GGGGG']","[195, 4, 1, 1]"
4,"['roate', 'limns', 'dummy', 'humph']","['XXXXX', 'XXGXX', 'XGGYX', 'GGGGG']","[195, 6, 1, 1]"
3,"['roate', 'helms', 'awake']","['XXGXG', 'XYXXX', 'GGGGG']","[42, 7, 7]"
3,"['roate', 'limns', 'blush']","['XXXXX', 'YXXXY', 'GGGGG']","[195, 10, 10]"
3,"['roate', 'comma', 'focal']","['XGYXX', 'YGXXY', 'GGGGG']","[16, 3, 3]"
4,"['roate', 'helms', 'awake', 'evade']","['XXGXG', 'XYXXX', 'YXGXG', 'GGGGG']","[42, 7, 2, 2]"
4,"['roate', 'sandy', 'pagan', 'naval']","['XXYXX', 'XGYXX', 'XGXGY', 'GGGGG']","[112, 4, 1, 1]"
4,"['roate', 'pirns', 'curse', 'serve']","['YXXXG', 'XXGXY', 'XXGYG', 'GGGGG']","[39, 5, 1, 1]"
3,"['roate', 'death', 'heath']","['XXGGY', 'XGGGG', 'GGGGG']","[3, 1, 1]"
4,"['roate', 'dicks', 'drawl', 'dwarf']","['YXGXX', 'GXXXX', 'GYGYX', 'GGGGG']","[51, 4, 1, 1]"
4,"['roate', 'swoln', 'golem', 'model']","['XGXXY', 'XXYYX', 'XGYGY', 'GGGGG']","[21, 3, 1, 1]"
3,"['roate', 'ihram', 'karma']","['YXYXX', 'XXGYY', 'GGGGG']","[35, 2, 2]"
3,"['roate', 'muist', 'stink']","['XXXYX', 'XXGYY', 'GGGGG']","[63, 5, 5]"
3,"['roate', 'crags', 'grade']","['YXGXG', 'XGGYX', 'GGGGG']","[23, 4, 4]"
3,"['roate', 'siled', 'quiet']","['XXXYY', 'XYXGX', 'GGGGG']","[56, 2, 2]"
4,"['roate', 'ceils', 'beech', 'bench']","['XXXXY', 'YGXXX', 'GGYGG', 'GGGGG']","[106, 3, 1, 1]"
