steps,words,feedback,ncands
3,"['soare', 'diram', 'cigar']","['XXYYX', 'XGYGX', 'GGGGG']","[42, 3, 3]"
4,"['soare', 'tepid', 'beret', 'rebut']","['XXXYY', 'YGXXX', 'YGYYG', 'GGGGG']","[117, 6, 1, 1]"
3,"['soare', 'glint', 'sissy']","['GXXXX', 'XXYXX', 'GGGGG']","[63, 3, 3]"
4,"['soare', 'lindy', 'butch', 'humph']","['XXXXX', 'XXXXX', 'XGXXG', 'GGGGG']","[183, 7, 1, 1]"
4,"['soare', 'album', 'agape', 'awake']","['XXGXG', 'GXXXX', 'GXGXG', 'GGGGG']","[28, 4, 1, 1]"
3,"['soare', 'mythi', 'blush']","['YXXXX', 'XXXYX', 'GGGGG']","[33, 3, 3]"
3,"['soare', 'octal', 'focal']","['XGYXX', 'YYXGG', 'GGGGG']","[21, 3, 3]"
4,"['soare', 'album', 'heave', 'evade']","['XXGXG', 'YXXXX', 'XYGYG', 'GGGGG']","[28, 7, 1, 1]"
3,"['soare', 'linty', 'naval']","['XXYXX', 'YXYXX', 'GGGGG']","[138, 1, 1]"
3,"['soare', 'scree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
4,"['soare', 'latch', 'death', 'heath']","['XXGXY', 'XYYXG', 'XGGGG', 'GGGGG']","[21, 2, 1, 1]"
3,"['soare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
4,"['soare', 'tawny', 'golem', 'model']","['XGXXY', 'XXXXX', 'XGYGY', 'GGGGG']","[26, 4, 1, 1]"
3,"['soare', 'diram', 'karma']","['XXYYX', 'XXGYY', 'GGGGG']","[42, 2, 2]"
3,"['soare', 'glint', 'stink']","['GXXXX', 'XXGGY', 'GGGGG']","[63, 1, 1]"
3,"['soare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
3,"['soare', 'lited', 'quiet']","['XXXXY', 'XYYGX', 'GGGGG']","[120, 2, 2]"
4,"['soare', 'lited', 'beech', 'bench']","['XXXXY', 'XXXYX', 'GGYGG', 'GGGGG']","[120, 9, 1, 1]"
3,"['soare', 'album', 'abate']","['XXGXG', 'GXYXX', 'GGGGG']","[28, 1, 1]"
4,"['soare', 'lited', 'begin', 'feign']","['XXXXY', 'XYXYX', 'XGYYG', 'GGGGG']","[120, 9, 1, 1]"
3,"['soare', 'vapor', 'major']","['XYYYX', 'XGXGG', 'GGGGG']","[27, 5, 5]"
3,"['soare', 'latch', 'death']","['XXGXY', 'XYYXG', 'GGGGG']","[21, 2, 2]"
4,"['soare', 'reset', 'cress', 'fresh']","['YXXYY', 'YYYYX', 'XGGGY', 'GGGGG']","[15, 4, 1, 1]"
3,"['soare', 'burst', 'crust']","['YXXYX', 'XYYGG', 'GGGGG']","[16, 2, 2]"
4,"['soare', 'knelt', 'sloth', 'stool']","['GYXXX', 'XXXYY', 'GYGYX', 'GGGGG']","[37, 2, 1, 1]"
4,"['soare', 'glout', 'dolly', 'colon']","['XGXXX', 'XYYXX', 'XGGYX', 'GGGGG']","[87, 12, 2, 2]"
3,"['soare', 'cease', 'abase']","['YXGXG', 'XYGGG', 'GGGGG']","[7, 2, 2]"
4,"['soare', 'cairn', 'harry', 'marry']","['XXYGX', 'XGXGX', 'XGGGG', 'GGGGG']","[11, 3, 2, 2]"
3,"['soare', 'reach', 'react']","['XXGYY', 'GGGGX', 'GGGGG']","[4, 1, 1]"
3,"['soare', 'linty', 'batty']","['XXYXX', 'XXXGG', 'GGGGG']","[138, 5, 5]"
3,"['soare', 'tepid', 'pride']","['XXXYG', 'XYYYY', 'GGGGG']","[39, 1, 1]"
3,"['soare', 'ghost', 'floss']","['YYXXX', 'XXGGX', 'GGGGG']","[7, 2, 2]"
4,"['soare', 'lited', 'elfin', 'helix']","['XXXXY', 'YYXYX', 'YYXGX', 'GGGGG']","[120, 2, 1, 1]"
4,"['soare', 'vapor', 'broad', 'croak']","['XYYYX', 'XYXYY', 'XGGGX', 'GGGGG']","[27, 5, 2, 2]"
4,"['soare', 'thilk', 'scant', 'staff']","['GXGXX', 'YXXXX', 'GXGXY', 'GGGGG']","[41, 4, 2, 2]"
5,"['soare', 'talky', 'wager', 'caper', 'paper']","['XXYYY', 'XGXXX', 'XGXGG', 'XGGGG', 'GGGGG']","[61, 14, 5, 1, 1]"
3,"['soare', 'lited', 'unfed']","['XXXXY', 'XXXGG', 'GGGGG']","[120, 4, 4]"
4,"['soare', 'lited', 'belch', 'whelp']","['XXXXY', 'YXXYX', 'XYYXY', 'GGGGG']","[120, 9, 1, 1]"
3,"['soare', 'clint', 'trawl']","['XXGYX', 'XYXXY', 'GGGGG']","[40, 1, 1]"
3,"['soare', 'clint', 'outdo']","['XYXXX', 'XXXXY', 'GGGGG']","[56, 4, 4]"
3,"['soare', 'anode', 'adobe']","['XYYXG', 'GXGYG', 'GGGGG']","[8, 1, 1]"
5,"['soare', 'clint', 'crack', 'cramp', 'crazy']","['XXGYX', 'GXXXX', 'GGGYX', 'GGGXX', 'GGGGG']","[40, 3, 2, 1, 1]"
3,"['soare', 'sober', 'sower']","['GGXYY', 'GGXGG', 'GGGGG']","[2, 1, 1]"
3,"['soare', 'talky', 'repay']","['XXYYY', 'XYXXG', 'GGGGG']","[61, 1, 1]"
3,"['soare', 'lindy', 'digit']","['XXXXX', 'XGXYX', 'GGGGG']","[183, 5, 5]"
