steps,words,feedback,ncands
3,"['stare', 'baron', 'cigar']","['XXYYX', 'XYYXX', 'GGGGG']","[64, 5, 5]"
3,"['stare', 'incur', 'rebut']","['XYXYY', 'XXXGY', 'GGGGG']","[30, 1, 1]"
3,"['stare', 'plink', 'sissy']","['GXXXX', 'XXYXX', 'GGGGG']","[67, 3, 3]"
4,"['stare', 'nould', 'jumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[227, 14, 1, 1]"
4,"['stare', 'clung', 'weave', 'awake']","['XXGXG', 'XXXXX', 'YYGXG', 'GGGGG']","[24, 5, 1, 1]"
3,"['stare', 'houfs', 'blush']","['YXXXX', 'YXGXY', 'GGGGG']","[38, 2, 2]"
3,"['stare', 'pylon', 'focal']","['XXYXX', 'XXYYX', 'GGGGG']","[127, 10, 10]"
4,"['stare', 'clung', 'weave', 'evade']","['XXGXG', 'XXXXX', 'XYGYG', 'GGGGG']","[24, 5, 1, 1]"
4,"['stare', 'pylon', 'banal', 'naval']","['XXYXX', 'XXYXY', 'XGYGG', 'GGGGG']","[127, 6, 1, 1]"
3,"['stare', 'scree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
3,"['stare', 'dealt', 'heath']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 3, 3]"
4,"['stare', 'hoard', 'diary', 'dwarf']","['XXGGX', 'XXGGY', 'GXGGX', 'GGGGG']","[12, 2, 1, 1]"
3,"['stare', 'loden', 'model']","['XXXXY', 'YGGGX', 'GGGGG']","[116, 1, 1]"
4,"['stare', 'baron', 'harpy', 'karma']","['XXYYX', 'XGGXX', 'XGGXX', 'GGGGG']","[64, 6, 2, 2]"
4,"['stare', 'point', 'sting', 'stink']","['GGXXX', 'XXGGY', 'GGGGX', 'GGGGG']","[22, 2, 1, 1]"
3,"['stare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
4,"['stare', 'teloi', 'edict', 'quiet']","['XYXXY', 'YYXXY', 'YXGXG', 'GGGGG']","[54, 6, 1, 1]"
4,"['stare', 'loden', 'being', 'bench']","['XXXXY', 'XXXYY', 'GGXYX', 'GGGGG']","[116, 9, 1, 1]"
2,"['stare', 'abate']","['XYGXG', 'GGGGG']","[5, 5]"
4,"['stare', 'loden', 'begin', 'feign']","['XXXXY', 'XXXYG', 'XGYYG', 'GGGGG']","[116, 3, 1, 1]"
4,"['stare', 'baron', 'favor', 'major']","['XXYYX', 'XGYGX', 'XGXGG', 'GGGGG']","[64, 6, 3, 3]"
3,"['stare', 'dealt', 'death']","['XYGXY', 'GGGXY', 'GGGGG']","[11, 1, 1]"
4,"['stare', 'poser', 'cress', 'fresh']","['YXXYY', 'XXYYY', 'XGGGY', 'GGGGG']","[14, 4, 1, 1]"
3,"['stare', 'torus', 'crust']","['YYXYX', 'YXYYY', 'GGGGG']","[13, 2, 2]"
