steps,words,feedback,ncands
4,"['tores', 'cairn', 'chair', 'cigar']","['XXYXX', 'GYYYX', 'GXYYG', 'GGGGG']","[97, 2, 1, 1]"
4,"['tores', 'artic', 'exert', 'rebut']","['YXYYX', 'XYYXX', 'YXYYG', 'GGGGG']","[23, 2, 1, 1]"
4,"['tores', 'skail', 'shiny', 'sissy']","['XXXXY', 'GXXYX', 'GXYXG', 'GGGGG']","[120, 9, 1, 1]"
4,"['tores', 'plica', 'dumpy', 'humph']","['XXXXX', 'YXXXX', 'XGGGX', 'GGGGG']","[246, 5, 1, 1]"
4,"['tores', 'glace', 'knave', 'awake']","['XXXYX', 'XXGXG', 'YXGXG', 'GGGGG']","[196, 8, 2, 2]"
3,"['tores', 'skail', 'blush']","['XXXXY', 'YXXXY', 'GGGGG']","[120, 3, 3]"
3,"['tores', 'yclad', 'focal']","['XGXXX', 'XYYGX', 'GGGGG']","[79, 3, 3]"
4,"['tores', 'glace', 'knave', 'evade']","['XXXYX', 'XXGXG', 'XXGYG', 'GGGGG']","[196, 8, 1, 1]"
5,"['tores', 'plica', 'badly', 'laugh', 'naval']","['XXXXX', 'XYXXY', 'XGXYX', 'YGXXX', 'GGGGG']","[246, 14, 2, 1, 1]"
3,"['tores', 'curse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[9, 1, 1]"
4,"['tores', 'elate', 'death', 'heath']","['YXXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[69, 3, 1, 1]"
4,"['tores', 'cairn', 'award', 'dwarf']","['XXYXX', 'XYXGX', 'YGGGY', 'GGGGG']","[97, 7, 1, 1]"
4,"['tores', 'women', 'golem', 'model']","['XGXGX', 'XGYGX', 'XGYGY', 'GGGGG']","[19, 3, 1, 1]"
3,"['tores', 'clump', 'karma']","['XXGXX', 'XXXGX', 'GGGGG']","[29, 1, 1]"
3,"['tores', 'liang', 'stink']","['YXXXY', 'XYXGX', 'GGGGG']","[58, 2, 2]"
3,"['tores', 'crame', 'grade']","['XXYYX', 'XGGXG', 'GGGGG']","[93, 8, 8]"
3,"['tores', 'valet', 'quiet']","['YXXGX', 'XXXGG', 'GGGGG']","[13, 3, 3]"
4,"['tores', 'glace', 'beech', 'bench']","['XXXYX', 'XXXGY', 'GGYGG', 'GGGGG']","[196, 4, 1, 1]"
3,"['tores', 'elate', 'abate']","['YXXYX', 'YXGGG', 'GGGGG']","[69, 2, 2]"
5,"['tores', 'glace', 'begin', 'deign', 'feign']","['XXXYX', 'YXXXY', 'XGYYG', 'XGGGG', 'GGGGG']","[196, 10, 2, 1, 1]"
4,"['tores', 'capon', 'valor', 'major']","['XYYXX', 'XGXGX', 'XGXGG', 'GGGGG']","[74, 6, 3, 3]"
3,"['tores', 'elate', 'death']","['YXXYX', 'YXGGY', 'GGGGG']","[69, 3, 3]"
3,"['tores', 'share', 'fresh']","['XXYYY', 'YYXYY', 'GGGGG']","[18, 1, 1]"
3,"['tores', 'stair', 'crust']","['YXYXY', 'YYXXY', 'GGGGG']","[12, 2, 2]"
4,"['tores', 'shoot', 'stood', 'stool']","['YYXXY', 'GXGGY', 'GGGGX', 'GGGGG']","[17, 3, 2, 2]"
3,"['tores', 'yclad', 'colon']","['XGXXX', 'XYGXX', 'GGGGG']","[79, 1, 1]"
4,"['tores', 'slank', 'chase', 'abase']","['XXXYY', 'YXGXX', 'XXGGG', 'GGGGG']","[72, 5, 1, 1]"
3,"['tores', 'clump', 'marry']","['XXGXX', 'XXXYX', 'GGGGG']","[29, 2, 2]"
3,"['tores', 'artic', 'react']","['YXYYX', 'YYYXY', 'GGGGG']","[23, 1, 1]"
3,"['tores', 'laith', 'batty']","['YXXXX', 'XGXGX', 'GGGGG']","[87, 4, 4]"
4,"['tores', 'crame', 'prude', 'pride']","['XXYYX', 'XGXXG', 'GGXGG', 'GGGGG']","[93, 10, 1, 1]"
2,"['tores', 'floss']","['XYXXG', 'GGGGG']","[3, 3]"
4,"['tores', 'glace', 'dwell', 'helix']","['XXXYX', 'XYXXY', 'XXYYY', 'GGGGG']","[196, 11, 1, 1]"
3,"['tores', 'capon', 'croak']","['XYYXX', 'GYXYX', 'GGGGG']","[74, 1, 1]"
4,"['tores', 'liang', 'shaft', 'staff']","['YXXXY', 'XXGXX', 'GXGGY', 'GGGGG']","[58, 6, 1, 1]"
5,"['tores', 'filar', 'gamer', 'caper', 'paper']","['XXYGX', 'XXXYG', 'XGXGG', 'XGGGG', 'GGGGG']","[94, 14, 6, 1, 1]"
3,"['tores', 'nival', 'unfed']","['XXXGX', 'YXXXX', 'GGGGG']","[55, 5, 5]"
4,"['tores', 'glace', 'dwell', 'whelp']","['XXXYX', 'XYXXY', 'XYGGY', 'GGGGG']","[196, 11, 1, 1]"
4,"['tores', 'tapir', 'track', 'trawl']","['GXYXX', 'GYXXY', 'GGGXX', 'GGGGG']","[19, 3, 1, 1]"
4,"['tores', 'adopt', 'ditto', 'outdo']","['YYXXX', 'XYYXY', 'YXGYG', 'GGGGG']","[31, 2, 1, 1]"
4,"['tores', 'inkle', 'abode', 'adobe']","['XYXYX', 'XXXXG', 'GYGYG', 'GGGGG']","[45, 3, 1, 1]"
6,"['tores', 'cairn', 'crack', 'cramp', 'crawl', 'crazy']","['XXYXX', 'GYXYX', 'GGGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[97, 4, 3, 2, 1, 1]"
4,"['tores', 'loser', 'sober', 'sower']","['XGYGY', 'XGYGG', 'GGXGG', 'GGGGG']","[4, 2, 1, 1]"
4,"['tores', 'crame', 'relay', 'repay']","['XXYYX', 'XYYXY', 'GGXGG', 'GGGGG']","[93, 9, 1, 1]"
3,"['tores', 'laith', 'digit']","['YXXXX', 'XXYYX', 'GGGGG']","[87, 3, 3]"
3,"['tores', 'artic', 'crate']","['YXYYX', 'YGYXY', 'GGGGG']","[23, 1, 1]"
3,"['tores', 'plica', 'cluck']","['XXXXX', 'XGXGX', 'GGGGG']","[246, 1, 1]"
3,"['tores', 'slank', 'spike']","['XXXYY', 'GXXXY', 'GGGGG']","[72, 1, 1]"
4,"['tores', 'plica', 'cumin', 'mimic']","['XXXXX', 'XXYYX', 'YXGGX', 'GGGGG']","[246, 5, 1, 1]"
7,"['tores', 'yclad', 'bound', 'found', 'hound', 'mound', 'pound']","['XGXXX', 'XXXXG', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[79, 6, 5, 4, 3, 2, 2]"
4,"['tores', 'plica', 'admin', 'maxim']","['XXXXX', 'XXYXY', 'YXYGX', 'GGGGG']","[246, 5, 1, 1]"
4,"['tores', 'nival', 'liken', 'linen']","['XXXGX', 'YGXXY', 'GGXGG', 'GGGGG']","[55, 2, 1, 1]"
4,"['tores', 'valet', 'quiet', 'unmet']","['YXXGX', 'XXXGG', 'XYXGG', 'GGGGG']","[13, 3, 1, 1]"
3,"['tores', 'slank', 'flesh']","['XXXYY', 'YGXXX', 'GGGGG']","[72, 1, 1]"
3,"['tores', 'yclad', 'booby']","['XGXXX', 'YXXXX', 'GGGGG']","[79, 8, 8]"
2,"['tores', 'forth']","['YGGXX', 'GGGGG']","[5, 5]"
4,"['tores', 'strap', 'burst', 'first']","['YXGXY', 'YYGXX', 'XXGGG', 'GGGGG']","[7, 2, 1, 1]"
3,"['tores', 'liang', 'stand']","['YXXXY', 'XXGGX', 'GGGGG']","[58, 3, 3]"
4,"['tores', 'glace', 'dwell', 'belly']","['XXXYX', 'XYXXY', 'XXYGY', 'GGGGG']","[196, 11, 2, 2]"
4,"['tores', 'capon', 'broil', 'ivory']","['XYYXX', 'XXXYX', 'XYGYX', 'GGGGG']","[74, 8, 1, 1]"
3,"['tores', 'slank', 'seedy']","['XXXYY', 'GXXXX', 'GGGGG']","[72, 6, 6]"
4,"['tores', 'faugh', 'crypt', 'print']","['YXYXX', 'XXXXX', 'XGXYG', 'GGGGG']","[21, 2, 1, 1]"
4,"['tores', 'crame', 'ready', 'yearn']","['XXYYX', 'XYGXY', 'YGGXY', 'GGGGG']","[93, 7, 1, 1]"
4,"['tores', 'cairn', 'brain', 'drain']","['XXYXX', 'XYYYG', 'XGGGG', 'GGGGG']","[97, 3, 2, 2]"
4,"['tores', 'crame', 'prude', 'bribe']","['XXYYX', 'XGXXG', 'XGXXG', 'GGGGG']","[93, 10, 2, 2]"
6,"['tores', 'shoot', 'scout', 'snout', 'spout', 'stout']","['YYXXY', 'GXGYG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[17, 4, 3, 2, 1, 1]"
4,"['tores', 'nival', 'angel', 'panel']","['XXXGX', 'YXXYG', 'YYXGG', 'GGGGG']","[55, 2, 1, 1]"
3,"['tores', 'brass', 'crass']","['XXYXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
3,"['tores', 'glace', 'flume']","['XXXYX', 'XGXXG', 'GGGGG']","[196, 5, 5]"
4,"['tores', 'blain', 'afoul', 'offal']","['XYXXX', 'XYYXX', 'YGYXG', 'GGGGG']","[66, 3, 1, 1]"
